root,geom,btag,horizon,M,estimator,lam,var_log_rv,in_unit,n_windows,mean_eff_M,share_full_M
ES,RTH,B1,1h,12,E2,0.865037263017823,1.7817495645878152,True,11406,11.99947396107312,0.9997369805365597
ES,RTH,B1,1h,12,E4,0.922444537716129,1.7817495645878152,True,11406,11.99947396107312,0.9997369805365597
ES,RTH,B1,1h,15,E2,0.8705056761502659,1.7023785622563803,True,11406,14.99929861476416,0.9997369805365597
ES,RTH,B1,1h,15,E4,0.9316101827130461,1.7023785622563803,True,11406,14.99929861476416,0.9997369805365597
ES,RTH,B1,1h,20,E2,0.8990729444105992,1.6386124544707779,True,11406,19.99894792214624,0.9997369805365597
ES,RTH,B1,1h,20,E4,0.9450034463599278,1.6386124544707779,True,11406,19.99894792214624,0.9997369805365597
ES,RTH,B1,1h,30,E2,0.9145026422610227,1.5414339169270848,True,11406,29.99833421006488,0.9997369805365597
ES,RTH,B1,1h,30,E4,0.9592853389396478,1.5414339169270848,True,11406,29.99833421006488,0.9997369805365597
ES,RTH,B1,1h,60,E2,0.9316287078116872,1.3740080612538783,True,11406,59.99631772751184,0.9997369805365597
ES,RTH,B1,1h,60,E4,0.9762041724563977,1.3740080612538783,True,11406,59.99631772751184,0.9997369805365597
ES,RTH,B1,30min,5,E2,2.873717388748418,2.139881207096338,False,22812,4.9997808171138,0.9998684902682798
ES,RTH,B1,30min,5,E4,0.9999309634565786,2.139881207096338,True,22812,4.9997808171138,0.9998684902682798
ES,RTH,B1,30min,6,E2,1.5426659104578317,2.0515619337009037,False,22812,5.99973698053656,0.9998684902682798
ES,RTH,B1,30min,6,E4,0.9998525022999103,2.0515619337009037,True,22812,5.99973698053656,0.9998684902682798
ES,RTH,B1,30min,10,E2,0.9411093482191601,1.8059333219298124,True,22812,9.99947396107312,0.9998246536910398
ES,RTH,B1,30min,10,E4,0.9995810177654778,1.8059333219298124,True,22812,9.99947396107312,0.9998246536910398
ES,RTH,B1,30min,15,E2,0.7898482105135092,1.6621180823982291,True,22812,14.99916710503244,0.9998246536910398
ES,RTH,B1,30min,15,E4,0.9945279839480269,1.6621180823982291,True,22812,14.99916710503244,0.9998246536910398
ES,RTH,B1,30min,30,E2,0.7911741771303851,1.4479300821121215,True,22812,29.99815886375592,0.9998246536910398
ES,RTH,B1,30min,30,E4,0.998978434296922,1.4479300821121215,True,22812,29.99815886375592,0.9998246536910398
NQ,RTH,B0,1day,5,E2,0.8454808654241617,1.8163782746876298,True,1901,5.0,1.0
NQ,RTH,B0,1day,5,E4,0.872166142643843,1.8163782746876298,True,1901,5.0,1.0
NQ,RTH,B0,1day,6,E2,0.6899579705162474,1.663586383510003,True,1901,6.0,1.0
NQ,RTH,B0,1day,6,E4,0.8627659485677142,1.663586383510003,True,1901,6.0,1.0
NQ,RTH,B0,1day,10,E2,0.7741087098471927,1.4517097176797054,True,1901,10.0,1.0
NQ,RTH,B0,1day,10,E4,0.8887882920858898,1.4517097176797054,True,1901,10.0,1.0
NQ,RTH,B0,1day,13,E2,0.7929189213858929,1.3351090740917526,True,1901,13.0,1.0
NQ,RTH,B0,1day,13,E4,0.9008694978954235,1.3351090740917526,True,1901,13.0,1.0
NQ,RTH,B0,1day,26,E2,0.856023084306328,1.2051036307441039,True,1901,26.0,1.0
NQ,RTH,B0,1day,26,E4,0.9377892705439802,1.2051036307441039,True,1901,26.0,1.0
NQ,RTH,B0,1day,78,E2,0.909407778455947,1.1349450880328027,True,1901,77.99684376643872,0.9984218832193582
NQ,RTH,B0,1day,78,E4,0.9762906374505934,1.1349450880328027,True,1901,77.99684376643872,0.9984218832193582
NQ,RTH,B0,1day,195,E2,0.9305902861534283,1.080826877393913,True,1901,194.98947922146237,0.9984218832193582
NQ,RTH,B0,1day,195,E4,0.9896467678027264,1.080826877393913,True,1901,194.98947922146237,0.9984218832193582
NQ,RTH,B0,1day,389,E2,0.934437050707514,1.0468256676780079,True,1901,388.97685428721724,0.9984218832193582
NQ,RTH,B0,1day,389,E4,0.9946217617849026,1.0468256676780079,True,1901,388.97685428721724,0.9984218832193582
