cell,t,converged,om,beta,gamma,xi,phi,tau1,tau2,log_sigma_u,persistence
ES/RTH/B0/1h,6548,True,-2.0472749814863946,0.23591305502388232,0.6318488809189816,0.6908575258175733,1.0642065729327317,-0.07049935696135774,0.10397315926254777,-1.143595834178257,0.9083307871980535
ES/RTH/B0/1h,6926,True,-1.9810767657012742,0.22248980610846614,0.6453523823907932,0.5741156508777256,1.0567605286073816,-0.07195722285538987,0.105207537814673,-1.142439419795701,0.9044727308617938
ES/RTH/B0/1h,7304,True,-2.220489636276652,0.18846944208046848,0.6569933940008552,0.7341559402775375,1.071016948035606,-0.07492214123053217,0.10609847550807933,-1.1300157819197663,0.8921205018028188
ES/RTH/B0/1h,7682,True,-2.270907210867688,0.16728002165465833,0.6706397091916181,0.7276532543648004,1.0705470547246971,-0.08185488019688145,0.10717765538349662,-1.1257271877568529,0.8852313871111726
ES/RTH/B0/1h,8060,True,-2.270115036011345,0.16348107646355559,0.6740691863293252,0.6776139466873026,1.066464028810383,-0.08335183574438648,0.10812192331079447,-1.1053681402855946,0.8823516166132646
ES/RTH/B0/1h,8438,True,-2.3269229434994543,0.1618580712064389,0.6709848199043098,0.6900423871055226,1.0682841507396326,-0.08226729314178033,0.11121346130717927,-1.0929378571704464,0.8786605196970998
ES/RTH/B0/1h,8816,True,-2.282923985490527,0.1547011554472349,0.6789115329425226,0.6544437252261328,1.0659238045559136,-0.08045761168737608,0.11337605013081896,-1.0840785108765971,0.8783691195982162
ES/RTH/B0/1h,9194,True,-2.1456090061815196,0.15765867690572977,0.684853864195839,0.5666912752042164,1.059480408035021,-0.08082683590811951,0.11468626298634216,-1.0865490222615948,0.8832479283882982
ES/RTH/B0/1h,9572,True,-2.107518056564351,0.1692803998842596,0.676681118017682,0.5465183294749978,1.0590511589389295,-0.07860046270672065,0.1150769624272652,-1.0815953693001454,0.8859203221529763
ES/RTH/B0/1h,9950,True,-2.031228600242124,0.17356293992016741,0.6764921444981562,0.47093094653086,1.054696593133933,-0.07513474547597376,0.11595896421784978,-1.0787246171174207,0.887056900004241
ES/RTH/B0/1h,10328,True,-2.045561594582973,0.17383909270401982,0.6751238132175605,0.4490214428792626,1.0528409882586023,-0.0742471099122689,0.11705912914446215,-1.0701736225593512,0.8846371154089123
ES/RTH/B0/1h,10706,True,-2.077768248106624,0.17503440520397115,0.6719835787833506,0.4447115898535944,1.0524989099072557,-0.07756392868577312,0.11715692403704898,-1.0747604077905117,0.8822963893490241
ES/RTH/B0/1h,11084,True,-2.0993217583780446,0.17425757806133732,0.6713528229603958,0.44028702823415655,1.0519376984076385,-0.0779714681384543,0.11717514301673129,-1.082698199255487,0.8804789214657669
NQ/RTH/B1/1day,500,True,-0.7726403203396555,0.2678040398964535,0.661985274203261,-1.17907487436795,0.905118295036015,-0.18096879999827703,0.05875342835599649,-1.5704963774486362,0.866979022622258
NQ/RTH/B1/1day,563,True,-2.321159198030979,0.2898686519608433,0.5336510021621739,1.1049691004581903,1.1325058210568941,-0.18353374840289144,0.07420256597477365,-1.580188986006201,0.8942315183223505
NQ/RTH/B1/1day,626,True,-2.3419753355559125,0.31080350102593507,0.5156852694203443,1.0696228906504177,1.1298280875136493,-0.1864646328392639,0.07501331613892409,-1.6093215309508246,0.8934392027340836
NQ/RTH/B1/1day,689,True,-1.7969032105572782,0.29362215613489073,0.5653407221827924,0.5112209111589774,1.0742239037121983,-0.185343543514368,0.06950870425171621,-1.6003714615120392,0.9009246736455634
