cell_id,root,geom,btag,horizon,scheme,n_obs,n_distinct_75,modal_75,modal_freq_75,n_distinct_90,modal_90,modal_freq_90,all_75,all_90,elapsed_s,s05_75_in_seed_set,s05_90_in_seed_set,s05_mcs75,s05_mcs90
NQ/GLOBEX/B1/1day/S-B_q0.90,NQ,GLOBEX,B1,1day,S-B_q0.90,145,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",1.6,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ/GLOBEX/B1/1day/S-C_q0.80,NQ,GLOBEX,B1,1day,S-C_q0.80,290,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",2.2,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ/GLOBEX/B1/1day/S-C_q0.90,NQ,GLOBEX,B1,1day,S-C_q0.90,145,1,M2_HAR|M3_HARJ|M4_HARQ,20,2,M2_HAR|M3_HARJ|M4_HARQ,13,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ"", ""M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK""]",1.7,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK
NQ/GLOBEX/B1/1h/S-B_q0.80,NQ,GLOBEX,B1,1h,S-B_q0.80,7901,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",10.0,True,True,M6_GK,M6_GK
NQ/GLOBEX/B1/1h/S-B_q0.90,NQ,GLOBEX,B1,1h,S-B_q0.90,3951,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",7.1,True,True,M6_GK,M6_GK
NQ/GLOBEX/B1/1h/S-C_q0.80,NQ,GLOBEX,B1,1h,S-C_q0.80,7901,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",9.5,True,True,M6_GK,M6_GK
NQ/GLOBEX/B1/1h/S-C_q0.90,NQ,GLOBEX,B1,1h,S-C_q0.90,3951,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",5.6,True,True,M6_GK,M6_GK
NQ/GLOBEX/B1/30min/S-B_q0.80,NQ,GLOBEX,B1,30min,S-B_q0.80,16747,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",18.6,True,True,M6_GK,M6_GK
NQ/GLOBEX/B1/30min/S-B_q0.90,NQ,GLOBEX,B1,30min,S-B_q0.90,8374,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",9.2,True,True,M6_GK,M6_GK
NQ/GLOBEX/B1/30min/S-C_q0.80,NQ,GLOBEX,B1,30min,S-C_q0.80,16747,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",18.3,True,True,M6_GK,M6_GK
NQ/GLOBEX/B1/30min/S-C_q0.90,NQ,GLOBEX,B1,30min,S-C_q0.90,8374,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",11.6,True,True,M6_GK,M6_GK
NQ/RTH/B0/1day/S-B_q0.80,NQ,RTH,B0,1day,S-B_q0.80,280,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ""]",1.6,True,True,M2_HAR|M3_HARJ|M4_HARQ,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ
NQ/RTH/B0/1day/S-B_q0.90,NQ,RTH,B0,1day,S-B_q0.90,140,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",1.2,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
