geom,df,nu,subarm,seed_index,seed,n_grid,b,c,A,rmse,cond,b_trigamma_analytic
RTH,nu3,3.0,signal,2,1526039578,8,-1.07575155206187,1.1366790412326786,2.372223279768447,0.0040313200355476374,80.19318365373103,-1.144373249661363
RTH,nu3,3.0,signal,3,1675107140,8,-1.3117708623128883,1.127364534572916,3.90346008602815,0.008967142504742813,135.64491363918896,-1.144373249661363
RTH,nu3,3.0,signal,4,179571710,8,-1.1189616463777594,1.0845554307491712,3.1521291878094866,0.009338644744738387,89.50760349314088,-1.144373249661363
RTH,nu3,3.0,reference,0,292721137,8,-1.118581937035331,0.09460235087656337,2.8875688803197663,0.018394046363780316,88.6926202700041,-1.144373249661363
RTH,nu3,3.0,reference,1,1964277819,8,-1.1283266088612798,0.09004968075492378,2.909755340326374,0.006790715273938376,90.54078086204795,-1.144373249661363
RTH,nu3,3.0,reference,2,775035947,8,-1.1652974396190265,0.08337099031351118,2.940528272170223,0.003414462488253785,97.8289504143572,-1.144373249661363
RTH,nu3,3.0,reference,3,1153791166,8,-1.0652954954153053,0.07543935790106225,2.5088511868785615,0.004284977235341571,78.68823957880223,-1.144373249661363
RTH,nu3,3.0,reference,4,298569607,8,-1.108647549560625,0.09892152840183398,2.818077090559124,0.0034307489853893616,86.73515060699764,-1.144373249661363
RTH,nu3.67,3.67,signal,0,3792816804,8,-1.3770945326133917,1.0528642601509883,4.4741577413848965,0.0022730100710945866,157.24104450561592,-1.144373249661363
RTH,nu3.67,3.67,signal,1,3899105040,8,-1.2292274406277355,1.0064116914439665,3.33531039277043,0.0120008326242355,112.78238213047834,-1.144373249661363
RTH,nu3.67,3.67,signal,2,2779108315,8,-1.220863148932457,1.042164865540197,3.7147493649836587,0.002332128438245438,111.90903403178774,-1.144373249661363
RTH,nu3.67,3.67,signal,3,1688233461,8,-1.1469198795411166,1.0530693291748972,2.9618290774971925,0.012074015811660113,94.2086713075304,-1.144373249661363
RTH,nu3.67,3.67,signal,4,1520814901,8,-1.1788113627067376,1.0298290286326333,3.080759649708269,0.01356074599023293,100.94372851374277,-1.144373249661363
RTH,nu3.67,3.67,reference,0,2271594059,8,-1.1395124933133758,0.03561606188508032,2.980128236381979,0.0053133798456681544,92.82450241885188,-1.144373249661363
RTH,nu3.67,3.67,reference,1,341935111,8,-1.1880141219019769,0.035124231116957304,3.2590261161834557,0.004400117519271816,103.33682691264337,-1.144373249661363
RTH,nu3.67,3.67,reference,2,2313135987,8,-1.177654438702441,0.04386491231049389,3.2706421721885492,0.00409831464509635,101.18844221018493,-1.144373249661363
