cell,stratum,key,n_windows,n_grid,b,c,A,rmse,cond,degenerate,reason
ES/RTH/B1/30min,year,2017,2844,5,-0.5568444571523194,0.16663198368604354,2.7560659444277227,0.008535038140829837,69.35771193875861,False,
ES/RTH/B1/30min,year,2018,2832,5,-0.3903759620342944,0.8206153632196677,2.221824641008927,0.034592532757095826,102.03132885456051,False,
ES/RTH/B1/30min,year,2019,2844,5,-0.6289521009427976,0.7888357693424121,2.497457094608529,0.0016406269754925455,69.87189516974627,False,
ES/RTH/B1/30min,year,2020,2868,5,-0.5113889602156253,1.5607213484615519,2.0980799758617343,0.005991986824896655,62.20483224859629,False,
ES/RTH/B1/30min,year,2021,2868,5,-0.625400949913049,0.9728625046323811,2.411779656933818,0.022897768337940827,68.60461539222881,False,
ES/RTH/B1/30min,year,2022,2856,5,-0.8996197068860083,0.7041906687502171,2.2447126092296092,0.00713944629597406,95.7187079892033,False,
ES/RTH/B1/30min,year,2023,2832,5,-0.5644683926204483,0.39340957364937784,2.084268475872586,0.006520354940238036,61.91022717661475,False,
ES/RTH/B1/30min,vol_tercile,1,7604,5,-0.00034168233221826754,-310.56419511274964,311.3732000183835,0.0699748633118265,53985163580.2401,True,|b|=0.000342 <= 0.01; cond=5.4e+10 > 1e8
ES/RTH/B1/30min,vol_tercile,2,7604,5,-67.135187743469,0.3596729868223363,-1.9084760365343323e+46,0.0370155599456342,7.59286576062211e+23,True,A=-1.91e+46 <= 0; cond=7.59e+23 > 1e8
ES/RTH/B1/30min,vol_tercile,3,7604,5,-65.30690122898679,0.7382856305286049,-4.973348849488041e+44,0.03690630204014607,2.2375273138308472e+300,True,A=-4.97e+44 <= 0; cond=2.24e+300 > 1e8
NQ/RTH/B0/1day,pooled,all,1901,8,-0.9743997227891924,1.0567722578646066,3.5897307083476124,0.016249669737984123,70.47027152605779,False,
NQ/RTH/B0/1day,year,2016,239,8,-0.8684905647193712,0.7118682777626558,3.0435608463006663,0.031758538044217466,56.67602275555803,False,
NQ/RTH/B0/1day,year,2017,237,8,-0.8996221486835724,0.39835282761414276,3.2867651737821486,0.022479383701102477,60.944493528257226,False,
NQ/RTH/B0/1day,year,2018,236,8,-0.7451000269756826,0.9220232687572187,2.128029833114664,0.029032106385417398,42.17580571567663,False,
NQ/RTH/B0/1day,year,2019,237,8,-1.0120173149335214,0.6532879150677899,3.639900910597655,0.02574629760914633,75.28768217103436,False,
NQ/RTH/B0/1day,year,2020,239,8,-1.4619063099356153,1.125115000267289,5.8411730631251295,0.015762350243276158,192.31971546911575,False,
NQ/RTH/B0/1day,year,2021,239,8,-1.1366006896376455,0.6473001660583799,4.636134452429294,0.023681394545924463,99.24988622736753,False,
