root,geom,horizon,M,rq_over_rv2,n_windows,constant_vol_value,excess,asym_var,trigamma,ratio_to_trigamma,is_5min
NQ,RTH,1day,389,2.0743921922205244,1901,1.0,1.0743921922205244,0.010665255486994983,0.0051546277620026035,2.0690641457398793,False
NQ,RTH,1h,4,0.677276368309155,11406,1.0,-0.32272363169084495,0.3386381841545775,0.6449340668482266,0.5250741146447607,False
NQ,RTH,1h,5,0.7316469107648378,11406,1.0,-0.2683530892351622,0.2926587643059351,0.4903577561002349,0.5968270322334052,False
NQ,RTH,1h,6,0.7774319665679226,11406,1.0,-0.22256803343207743,0.25914398885597417,0.39493406684822646,0.6561702588081961,False
NQ,RTH,1h,10,0.8986852271900307,11406,1.0,-0.10131477280996926,0.17973704543800617,0.22132295573711533,0.8121030411842847,False
NQ,RTH,1h,12,0.937262706797645,11406,1.0,-0.062737293202355,0.15621045113294083,0.18132295573711532,0.8615039970968542,True
NQ,RTH,1h,15,0.9855538149738379,11406,1.0,-0.014446185026162128,0.13140717532984506,0.1426158966967038,0.9214062273107189,False
NQ,RTH,1h,20,1.047066610370066,11406,1.0,0.0470666103700661,0.10470666103700661,0.10516633568168576,0.9956290704463596,False
NQ,RTH,1h,30,1.134599182263071,11406,1.0,0.134599182263071,0.07563994548420473,0.0689382278476838,1.0972133726925517,False
NQ,RTH,1h,60,1.254671403664196,11406,1.0,0.25467140366419594,0.04182238012213987,0.033895060357739946,1.2338783197531529,False
NQ,RTH,30min,5,0.7394326373361961,22812,1.0,-0.26056736266380387,0.2957730549344785,0.4903577561002349,0.603178090394106,False
NQ,RTH,30min,6,0.781289601340202,22812,1.0,-0.21871039865979802,0.26042986711340066,0.39493406684822646,0.6594261902797159,True
NQ,RTH,30min,10,0.8995732311770207,22812,1.0,-0.1004267688229793,0.17991464623540415,0.22132295573711533,0.8129054920498375,False
NQ,RTH,30min,15,0.991121653013151,22812,1.0,-0.008878346986848973,0.1321495537350868,0.1426158966967038,0.9266116666932621,False
NQ,RTH,30min,30,1.1189440505788812,22812,1.0,0.11894405057888124,0.07459627003859208,0.0689382278476838,1.0820740881736834,False
