root,geom,btag,horizon,sample,candidate,n,n_dropped_predictor,share_dropped,n_dropped_target,ic,r2,lam_intercept,lam_theory,valid,r2_corr_measured,keep_raw,keep_measured,band_lo,band_hi,in_flip_band
ES,RTH,B0,1day,insample,GarmanKlass,1900,0,0.0,0,0.7790204267088888,0.6068728252296992,0.8397800078923314,0.9765359952651714,True,0.7226569095789985,True,True,0.01679560015784663,0.02,False
ES,RTH,B0,1day,insample,VolumeSurprise,1900,0,0.0,0,0.28363064010426536,0.0804463400059553,0.8397800078923314,0.9765359952651714,True,0.09579454053432213,True,True,0.01679560015784663,0.02,False
ES,RTH,B0,1day,insample,CrossLeadLag,1900,0,0.0,0,0.7812855987886114,0.610407186874479,0.8397800078923314,0.9765359952651714,True,0.726865585198284,True,True,0.01679560015784663,0.02,False
ES,RTH,B0,1day,insample,RealizedQuarticity,1900,0,0.0,0,0.7926679115175639,0.6283224179496165,0.8397800078923314,0.9765359952651714,True,0.7481988283176348,True,True,0.01679560015784663,0.02,False
ES,RTH,B0,1day,insample,SignatureSlope,1900,0,0.0,0,0.07986116854887747,0.006377806241992216,0.8397800078923314,0.9765359952651714,True,0.007594615473163202,False,False,0.01679560015784663,0.02,False
ES,RTH,B0,1h,insample,RS_up,11402,3,0.000263042525208242,0,0.6546416489824263,0.4285556885824302,0.588054052124918,0.8529726155294435,True,0.7287692126835201,True,True,0.01176108104249836,0.02,False
ES,RTH,B0,1h,insample,RS_down,11401,4,0.0003507233669443227,0,0.694801455445829,0.4827490624896424,0.588054052124918,0.8529726155294435,True,0.8209263429870796,True,True,0.01176108104249836,0.02,False
ES,RTH,B0,1h,insample,JumpVar,6094,5311,0.4656729504603244,0,0.574389947616108,0.32992381192243525,0.588054052124918,0.8529726155294435,True,0.56104334411142,True,True,0.01176108104249836,0.02,False
ES,RTH,B0,1h,insample,Parkinson,11405,0,0.0,0,0.7432544567603531,0.5524271874941276,0.588054052124918,0.8529726155294435,True,0.9394156634036384,True,True,0.01176108104249836,0.02,False
ES,RTH,B0,1h,insample,GarmanKlass,11405,0,0.0,0,0.7503754781559944,0.5630633582178372,0.588054052124918,0.8529726155294435,True,0.9575027264640424,True,True,0.01176108104249836,0.02,False
ES,RTH,B0,1h,insample,VolumeSurprise,11405,0,0.0,0,0.2540422897547039,0.06453748498381293,0.588054052124918,0.8529726155294435,True,0.10974753893899447,True,True,0.01176108104249836,0.02,False
ES,RTH,B0,1h,insample,CrossLeadLag,11405,0,0.0,0,0.6910332613239761,0.4775269682560507,0.588054052124918,0.8529726155294435,True,0.8120460466695526,True,True,0.01176108104249836,0.02,False
ES,RTH,B0,1h,insample,RealizedQuarticity,11405,0,0.0,0,0.7430107246148842,0.5520649368927352,0.588054052124918,0.8529726155294435,True,0.938799647579781,True,True,0.01176108104249836,0.02,False
ES,RTH,B0,1h,insample,SignatureSlope,11405,0,0.0,0,0.01842378445734726,0.0003394358337307904,0.588054052124918,0.8529726155294435,True,0.0005772187650170046,False,False,0.01176108104249836,0.02,False
ES,RTH,B0,30min,insample,RS_up,22468,343,0.015036605146639778,0,0.5537541742309298,0.30664368547817894,0.3958240376050629,0.6736771351183367,True,0.7746969773072132,True,True,0.007916480752101258,0.02,False
ES,RTH,B0,30min,insample,RS_down,22282,529,0.0231905659550217,0,0.6070318868906075,0.3684877117019713,0.3958240376050629,0.6736771351183367,True,0.9309381864009819,True,True,0.007916480752101258,0.02,False
ES,RTH,B0,30min,insample,JumpVar,11765,11046,0.4842400596203586,0,0.5473858266886854,0.2996312432596555,0.3958240376050629,0.6736771351183367,True,0.7569809177648159,True,True,0.007916480752101258,0.02,False
ES,RTH,B0,30min,insample,Parkinson,22811,0,0.0,0,0.7429104412797616,0.5519159237624901,0.3958240376050629,0.6736771351183367,True,1.3943466574234922,True,True,0.007916480752101258,0.02,False
ES,RTH,B0,30min,insample,GarmanKlass,22811,0,0.0,0,0.7507360356669387,0.563604595248911,0.3958240376050629,0.6736771351183367,True,1.4238766262377747,True,True,0.007916480752101258,0.02,False
ES,RTH,B0,30min,insample,VolumeSurprise,22811,0,0.0,0,0.1860585241183467,0.0346177743970974,0.3958240376050629,0.6736771351183367,True,0.08745748390257593,True,True,0.007916480752101258,0.02,False
ES,RTH,B0,30min,insample,CrossLeadLag,22811,0,0.0,0,0.6789148206995099,0.4609253337654477,0.3958240376050629,0.6736771351183367,True,1.1644702948165573,True,True,0.007916480752101258,0.02,False
ES,RTH,B0,30min,insample,RealizedQuarticity,22811,0,0.0,0,0.7180951670803382,0.5156606689841388,0.3958240376050629,0.6736771351183367,True,1.3027522838283105,True,True,0.007916480752101258,0.02,False
ES,RTH,B0,30min,insample,SignatureSlope,22811,0,0.0,0,0.0029391365985172208,8.638523944743378e-06,0.3958240376050629,0.6736771351183367,True,2.1824151956538186e-05,False,False,0.007916480752101258,0.02,False
ES,RTH,B1,1day,insample,RS_up,1900,0,0.0,0,0.8040655944762565,0.6465214802204557,0.8397800078923314,0.9765359952651714,True,0.7698700542337114,True,True,0.01679560015784663,0.02,False
ES,RTH,B1,1day,insample,RS_down,1900,0,0.0,0,0.791863972575631,0.6270485510632597,0.8397800078923314,0.9765359952651714,True,0.7466819228490778,True,True,0.01679560015784663,0.02,False
ES,RTH,B1,1day,insample,JumpVar,1199,701,0.36894736842105263,0,0.5371861081168225,0.28856891475369856,0.8397800078923314,0.9765359952651714,True,0.3436244159681116,True,True,0.01679560015784663,0.02,False
ES,RTH,B1,1day,insample,Parkinson,1900,0,0.0,0,0.7796910335539923,0.6079181078044927,0.8397800078923314,0.9765359952651714,True,0.7239016195803916,True,True,0.01679560015784663,0.02,False
ES,RTH,B1,1day,insample,GarmanKlass,1900,0,0.0,0,0.7786197568667373,0.6062487257832172,0.8397800078923314,0.9765359952651714,True,0.7219137394146499,True,True,0.01679560015784663,0.02,False
ES,RTH,B1,1day,insample,VolumeSurprise,1900,0,0.0,0,0.2851398063235403,0.08130470915022607,0.8397800078923314,0.9765359952651714,True,0.09681667625582506,True,True,0.01679560015784663,0.02,False
