root,geom,H,sigma_w,seed_index,seed,b,c,A,rmse,cond,emb_neg_eig,emb_min_eig
NQ,GLOBEX,0.1,2.5517459287941455,0,2064800720,-0.9616824554434118,1.0556767960195896,3.110469370336528,0.009067529541453545,65.31356197085431,0,0.0006160708731073328
NQ,GLOBEX,0.1,2.5517459287941455,1,2261395708,-0.7658407989363157,1.0435194371925238,2.1805521710973235,0.019099960376431614,42.249812094340164,0,0.0006160708731073328
NQ,GLOBEX,0.1,2.5517459287941455,2,1236768817,-0.8971833785176195,1.0563628549585784,2.7423702106361096,0.010232782249432026,56.444595831535395,0,0.0006160708731073328
NQ,GLOBEX,0.1,2.5517459287941455,3,653074285,-0.8178167756917404,1.0096066351378352,2.5729495793345976,0.01733010472557527,48.095219698605874,0,0.0006160708731073328
NQ,GLOBEX,0.1,2.5517459287941455,4,3408301366,-0.8564291028534738,1.024993150421507,2.379845665905287,0.013205970021585516,50.97347644838611,0,0.0006160708731073328
NQ,GLOBEX,0.2,2.88187941017747,0,3424253335,-0.969670155922396,1.0449981851143557,3.270112357229259,0.010264506703165416,66.94318015372654,0,0.005230106077750207
NQ,GLOBEX,0.2,2.88187941017747,1,1818842191,-0.7418666324209995,0.9701437128817545,2.663267113353066,0.012066158161595014,42.725353964381924,0,0.005230106077750207
NQ,GLOBEX,0.2,2.88187941017747,2,4158812154,-0.8760958912557667,1.0429802471149385,3.2417018037570458,0.010751970757601943,56.52898557628746,0,0.005230106077750207
NQ,GLOBEX,0.2,2.88187941017747,3,2613977063,-0.8027857683168611,1.0290013642071383,2.7805494241792097,0.009867603809295777,47.80361708676891,0,0.005230106077750207
NQ,GLOBEX,0.2,2.88187941017747,4,2942016331,-0.7131159524322511,0.9786912052547674,2.6651208220414997,0.009577627413288855,40.89661122702164,0,0.005230106077750207
NQ,GLOBEX,0.3,3.3582282758057116,0,2185308736,-0.8639034493701291,1.0366192313134128,3.2456199362839464,0.015743040702691582,55.416527310321115,0,0.033300563665612515
NQ,GLOBEX,0.3,3.3582282758057116,1,1917254111,-0.7057969061278913,1.084374276574484,2.9096635305180687,0.018238153786132645,41.95899352706827,0,0.033300563665612515
NQ,GLOBEX,0.3,3.3582282758057116,2,2678098089,-0.8831432643405682,1.0017281032821594,3.752410700696152,0.011200381315487682,60.03893387302128,0,0.033300563665612515
NQ,GLOBEX,0.3,3.3582282758057116,3,4136376264,-0.8118112643368529,1.0321724643775438,3.4327898235179655,0.006441614274781611,52.19747402024154,0,0.033300563665612515
NQ,GLOBEX,0.3,3.3582282758057116,4,3954791452,-0.7154571425643402,0.9508153539893942,2.3980407987905403,0.020805922016947188,39.595058814556104,0,0.033300563665612515
NQ,GLOBEX,0.45,4.465884292930365,0,1300268432,-0.829969617567387,0.9985731314472219,4.125777420443933,0.01054253246570701,58.202357042587884,0,0.43683516529665667
NQ,GLOBEX,0.45,4.465884292930365,1,3261179605,-0.6951318185529172,0.9890498342526138,3.1024670394273435,0.012187013308449296,42.65466105872276,0,0.43683516529665667
NQ,GLOBEX,0.45,4.465884292930365,2,4215966596,-0.8424385492525029,1.0291972069474784,4.575805245539344,0.01201222383041855,62.42598291081254,0,0.43683516529665667
NQ,GLOBEX,0.45,4.465884292930365,3,2987456782,-0.9146679850829162,1.0471795703267115,4.720154570818676,0.010098323303790225,69.2715543291538,0,0.43683516529665667
NQ,GLOBEX,0.45,4.465884292930365,4,1046994203,-0.787167624431793,1.050457729978106,3.4982798875483354,0.008717676898198936,50.86768420565209,0,0.43683516529665667
NQ,GLOBEX,0.5,4.804715622335673,0,1378593954,-0.8374388491224682,0.9838469575807174,3.4863897559451265,0.00973242686356293,54.51638088795589,0,1.0
NQ,GLOBEX,0.5,4.804715622335673,1,2385349072,-0.7897701368061211,0.9991422453440632,3.8476644986884447,0.01533404619251678,53.458053755053655,0,1.0
NQ,GLOBEX,0.5,4.804715622335673,2,1601835338,-0.8519780320729989,1.0183583833034286,4.347572198861906,0.01479315080454794,61.42479525737994,0,1.0
