root,geom,btag,horizon,M,minutes_per_sub_bar,s2_intercept,s2_intercept_lo,s2_intercept_hi,s2_naive,adj_exact_intercept_vp,adj_exact_intercept_vp_lo,adj_exact_intercept_vp_hi,adj_exact_naive_vp,bias_vp,overstatement_prop,overstatement_lo,overstatement_hi,adj_BL_naive_vp,below_5pct,is_5min
ES,RTH,B1,30min,30,1.0,0.8153215401312074,0.6384866973095559,0.9399249735833916,1.4538336578327102,1.937877228394096,1.5341803558051725,2.21702299172287,3.3234579160247524,1.3855806876306564,0.7149992101299816,0.4990633513647331,1.1662758902166535,8.198723012364228,False,False
NQ,RTH,B0,1day,5,78.0,1.0567722578646066,0.9861349099479804,1.122810834100859,1.8174300346069436,2.4748719198173896,2.319445677324705,2.6189432733632123,4.064433160315581,1.5895612404981918,0.6422802035813953,0.5519363102111372,0.7523295328923503,12.890043378781616,False,False
NQ,RTH,B0,1day,6,65.0,1.0567722578646066,0.9861349099479804,1.122810834100859,1.6648754610695002,2.4748719198173896,2.319445677324705,2.6189432733632123,3.757636807601441,1.2827648877840514,0.5183156661613022,0.43479121744242044,0.6200581217903642,10.71253754663954,False,False
NQ,RTH,B0,1day,10,39.0,1.0567722578646066,0.9861349099479804,1.122810834100859,1.452688150140284,2.4748719198173896,2.319445677324705,2.6189432733632123,3.3210698566525254,0.8461979368351358,0.34191585029481986,0.2680953766469525,0.43183773999101094,8.186474559542248,False,False
NQ,RTH,B0,1day,13,30.0,1.0567722578646066,0.9861349099479804,1.122810834100859,1.3361575822638212,2.4748719198173896,2.319445677324705,2.6189432733632123,3.0763411350989767,0.601469215281587,0.24303044148077246,0.17464977817117067,0.32632601193199307,7.010993253257823,False,False
NQ,RTH,B0,1day,26,15.0,1.0567722578646066,0.9861349099479804,1.122810834100859,1.204757807019318,2.4748719198173896,2.319445677324705,2.6189432733632123,2.7960751339174306,0.32120321410004093,0.12978579276285984,0.06763485958470117,0.20549283014141517,5.83987759073863,False,False
NQ,RTH,B0,1day,78,5.0,1.0567722578646066,0.9861349099479804,1.122810834100859,1.13474711756856,2.4748719198173896,2.319445677324705,2.6189432733632123,2.644857088897503,0.16998516908011352,0.0686844307856771,0.009894760149200321,0.14029706095472516,5.2759672031140346,False,True
NQ,RTH,B0,1day,195,2.0,1.0567722578646066,0.9861349099479804,1.122810834100859,1.0804412819338869,2.4748719198173896,2.319445677324705,2.6189432733632123,2.526645627273607,0.051773707456217455,0.020919752267437586,-0.035242323508243745,0.08933166746456878,4.8649481792575555,True,False
NQ,RTH,B0,1day,389,1.0025706940874035,1.0567722578646066,0.9861349099479804,1.122810834100859,1.0465876249207384,2.4748719198173896,2.319445677324705,2.6189432733632123,2.452546837435674,-0.0223250823817156,-0.009020702123188173,-0.06353571595838892,0.057384900802889494,4.619790898432114,True,False
NQ,RTH,B0,1h,4,15.0,1.424896531154938,1.3780583977392191,1.4692998836242692,2.242986168005198,3.263027287511866,3.164748799327417,3.3556671669326943,4.889966361042603,1.6269390735307376,0.49859805946376756,0.45722627357955825,0.5451357030554322,21.05355818904641,False,False
NQ,RTH,B0,1h,5,12.0,1.424896531154938,1.3780583977392191,1.4692998836242692,2.0781772580569497,3.263027287511866,3.164748799327417,3.3556671669326943,4.5754543134632915,1.312427025951426,0.4022114773524257,0.36350063514957154,0.4457559204811714,17.474730304939037,False,False
NQ,RTH,B0,1h,6,10.0,1.424896531154938,1.3780583977392191,1.4692998836242692,1.994221769422511,3.263027287511866,3.164748799327417,3.3556671669326943,4.412730048447173,1.1497027609353072,0.3523423678788731,0.3150082618237451,0.39433816971033564,15.866208861274188,False,False
NQ,RTH,B0,1h,10,6.0,1.424896531154938,1.3780583977392191,1.4692998836242692,1.8084635417682893,3.263027287511866,3.164748799327417,3.3556671669326943,4.046562379053378,0.7835350915415118,0.24012520353115874,0.20588907592769634,0.27863620010326473,12.752665484399966,False,False
NQ,RTH,B0,1h,12,5.0,1.424896531154938,1.3780583977392191,1.4692998836242692,1.7587520585567455,3.263027287511866,3.164748799327417,3.3556671669326943,3.947120104290207,0.6840928167783411,0.20964973826497713,0.17625494661264063,0.24721434608935233,12.012970842580328,False,True
