arm,root,geom,position,H,sigma_w,kappa,seed_index,seed,b,c,A,rmse,cond,corr_cb,corr_Ab
A7,ES,RTH,start,,0.0,7.245331012178212,2,2864518593,-1.0176981176144422,1.040391191769374,2.7958261344985,0.012081971122079288,72.27463021417091,-0.7338138506595644,-0.9741370820948921
A7,ES,RTH,start,,0.0,7.245331012178212,3,1455015860,-1.0742586472990379,1.0659205560984595,2.7334671252593536,0.01296541548730351,80.65609082237448,-0.7164576616203671,-0.9763281457288278
A7,ES,RTH,start,,0.0,7.245331012178212,4,810802102,-1.0679374009991665,1.0410569955222124,2.9007997377967483,0.007130779715557622,80.10973484850707,-0.7183138163667339,-0.9760967605912176
A7,ES,RTH,quarter,,0.0,7.245331012178212,0,3436410985,-1.1141801103134326,1.0010570058653896,3.167201555156056,0.003927162225462686,88.70478991675866,-0.7051315687312522,-0.9777292519365769
A7,ES,RTH,quarter,,0.0,7.245331012178212,1,1047590677,-1.28919439546477,1.0386281974394134,4.191938033807074,0.008221323109545531,130.28755488760044,-0.6640029450222071,-0.9827711743127514
A7,ES,RTH,quarter,,0.0,7.245331012178212,2,2560283319,-1.0380634748248294,1.0421556431755044,2.2105838184163233,0.00836943539457958,73.91284666161485,-0.727383424871151,-0.9749567701276101
A7,ES,RTH,quarter,,0.0,7.245331012178212,3,725408292,-1.1779205178468057,1.0212567001945279,2.9698288360692873,0.006898612613481405,100.511113725139,-0.6886153967870154,-0.9797525659832992
A7,ES,RTH,quarter,,0.0,7.245331012178212,4,1903022668,-1.034614174291836,1.021279867289268,2.699120467540328,0.00946592127467921,74.39970949317,-0.7284570181243576,-0.9748206349677858
A7,ES,RTH,mid,,0.0,7.245331012178212,0,2207511596,-1.4199199478510756,1.02664500453096,4.649575615295128,0.0055784543351600005,172.57727877297285,-0.6409056409842937,-0.9856597409872108
A7,ES,RTH,mid,,0.0,7.245331012178212,1,987449480,-1.1593649237045311,1.0450195767568784,3.5873399386818687,0.003879986984300935,98.52389734811268,-0.6932305976072106,-0.9791883685853994
A7,ES,RTH,mid,,0.0,7.245331012178212,2,1065044461,-1.0944192681483778,1.0070936564348956,3.1026886856026588,0.01481635487447241,85.08634456125998,-0.7106386773775185,-0.9770500424787669
A7,ES,RTH,mid,,0.0,7.245331012178212,3,925986160,-1.254619553800359,1.0516194382162516,3.3105833581834916,0.007054654187046221,118.91971185711914,-0.6711137143334147,-0.9818951957920538
A7,ES,RTH,mid,,0.0,7.245331012178212,4,1563886895,-0.9734740697939558,0.998893652455402,2.1197840300916964,0.0072866970525868645,64.55235112593114,-0.7484713595348282,-0.9722221484600951
A7,ES,RTH,end,,0.0,7.245331012178212,0,3852943563,-1.0974813213941057,1.0321709300764368,2.6040490982625437,0.008026399954760705,84.30079394328425,-0.7097771512627287,-0.9771565392544467
