root,geom,btag,M,variant,year,n,median,iqr,p95,p99,share_gt10x_med,ref_2overM,med_over_ref,acf1,acf5,acf10,acf_full
NQ,RTH,B0,13,TQ_BV,2016,239,0.12228204370303626,0.05777495856969611,0.2114376031763296,0.2757758829019679,0.0,0.15384615384615385,0.7948332840697356,-0.013051991872723665,-0.008730555316283157,-0.007407208107016235,"[-0.013, 0.06, 0.042, -0.001, -0.009, -0.007, 0.085, 0.014, 0.124, -0.007]"
NQ,RTH,B0,13,TQ_BV,2017,237,0.12334985665323964,0.07123231460645245,0.2192605206816619,0.25456421459708495,0.0,0.15384615384615385,0.8017740682460576,0.01783592537059147,0.023887928159276664,-0.061527374742005134,"[0.018, 0.07, -0.036, -0.026, 0.024, -0.006, 0.043, 0.014, -0.019, -0.062]"
NQ,RTH,B0,13,TQ_BV,2018,236,0.12984445505864559,0.06008822722711331,0.2364364604613449,0.2546623028942473,0.0,0.15384615384615385,0.8439889578811962,0.010744359926771776,0.04707587853837603,0.027565255917360938,"[0.011, -0.034, 0.041, -0.076, 0.047, 0.108, -0.01, -0.035, 0.078, 0.028]"
NQ,RTH,B0,13,TQ_BV,2019,237,0.12441531401008761,0.06768770643696995,0.23979021704318518,0.2892816043567034,0.0,0.15384615384615385,0.8086995410655694,0.11751407532093094,-0.12507318652183078,-0.07131223359676038,"[0.118, 0.05, -0.049, -0.049, -0.125, -0.031, -0.003, -0.002, 0.06, -0.071]"
NQ,RTH,B0,13,TQ_BV,2020,239,0.11680941168657386,0.04659709356762129,0.19071841244829588,0.21604580527607214,0.0,0.15384615384615385,0.75926117596273,-0.02298623674861467,0.07040685635070049,-0.014855607543359406,"[-0.023, -0.101, 0.022, 0.043, 0.07, -0.059, 0.023, 0.036, -0.087, -0.015]"
NQ,RTH,B0,13,TQ_BV,2021,239,0.12745651756109622,0.07129998389411882,0.21912507681910678,0.26147941328157087,0.0,0.15384615384615385,0.8284673641471254,0.020364179494400416,0.06940468943325295,0.050628108408771196,"[0.02, 0.027, -0.006, -0.082, 0.069, -0.036, 0.034, 0.076, 0.03, 0.051]"
NQ,RTH,B0,13,TQ_BV,2022,238,0.1256698126641852,0.06154707408507776,0.2202033702544345,0.2696896447890598,0.0,0.15384615384615385,0.8168537823172037,0.06639198996350686,0.12059112384987868,0.03590363903049908,"[0.066, 0.001, 0.001, 0.007, 0.121, 0.043, 0.028, -0.103, -0.003, 0.036]"
NQ,RTH,B0,13,TQ_BV,2023,236,0.12432674909120939,0.06482263679474576,0.2201601601011175,0.30592307723135737,0.0,0.15384615384615385,0.8081238690928609,-0.06265350248847863,-0.0003020447546661519,-0.007007580868232143,"[-0.063, 0.076, -0.064, -0.012, -0.0, 0.127, -0.099, 0.058, -0.066, -0.007]"
NQ,RTH,B0,13,TQ_BV,0,1901,0.12421000500857031,0.06366436648990655,0.21883405457183788,0.2708500247611444,0.0,0.15384615384615385,0.807365032555707,0.017451591318662894,0.027882848728326335,-0.005016448614084468,"[0.017, 0.029, -0.002, -0.022, 0.028, 0.024, 0.013, 0.017, 0.02, -0.005]"
NQ,RTH,B0,13,TRQ3_TRV3,2016,239,0.13931447083180248,0.056574131698159225,0.21658007699613593,0.2601070699542021,0.0,0.15384615384615385,0.9055440604067161,0.0729439704155653,-0.05462775682528107,-0.11527264668786606,"[0.073, 0.082, 0.05, -0.009, -0.055, 0.029, 0.092, 0.013, -0.009, -0.115]"
NQ,RTH,B0,13,TRQ3_TRV3,2017,237,0.14118868060473566,0.05773774910755612,0.2223596698006511,0.27456505902176176,0.0,0.15384615384615385,0.9177264239307817,-0.008865422558486364,-0.05574037895958923,0.12386840279594709,"[-0.009, 0.068, -0.057, 0.038, -0.056, -0.0, -0.087, -0.059, -0.06, 0.124]"
NQ,RTH,B0,13,TRQ3_TRV3,2018,236,0.1369862695195408,0.05299592503970031,0.22364801396267525,0.26630347641542396,0.0,0.15384615384615385,0.8904107518770151,0.02311626247689901,0.06454356174618613,-0.054906536749697726,"[0.023, -0.201, -0.073, 0.045, 0.065, -0.047, 0.083, 0.029, 0.033, -0.055]"
NQ,RTH,B0,13,TRQ3_TRV3,2019,237,0.1368048147352172,0.05944752227974025,0.22771510077474424,0.27010240069163094,0.0,0.15384615384615385,0.8892312957789117,0.05798705835217413,0.022445630419244782,-0.056862049495363894,"[0.058, -0.022, -0.003, -0.055, 0.022, -0.071, -0.115, -0.144, 0.032, -0.057]"
NQ,RTH,B0,13,TRQ3_TRV3,2020,239,0.13047270912793651,0.04439336225471502,0.21519076204062013,0.263580326418546,0.0,0.15384615384615385,0.8480726093315873,-0.0056868978902818185,0.004040326275395209,0.02552351736024125,"[-0.006, 0.081, -0.042, 0.015, 0.004, -0.169, -0.071, -0.107, 0.02, 0.026]"
NQ,RTH,B0,13,TRQ3_TRV3,2021,239,0.14095905337614673,0.04731449507038446,0.22740277993106786,0.26841530685125603,0.0,0.15384615384615385,0.9162338469449537,0.05635162165244586,0.028453578252833185,-0.01924434201561994,"[0.056, 0.125, 0.037, -0.026, 0.028, 0.019, 0.086, 0.034, 0.097, -0.019]"
NQ,RTH,B0,13,TRQ3_TRV3,2022,238,0.13508912103643145,0.05103773881009985,0.21206658317256513,0.2612496092284248,0.0,0.15384615384615385,0.8780792867368044,-0.00447623776858736,-0.05070569008837829,-0.027356367716047974,"[-0.004, 0.054, -0.068, -0.029, -0.051, 0.033, 0.013, 0.058, 0.074, -0.027]"
NQ,RTH,B0,13,TRQ3_TRV3,2023,236,0.13346603972525584,0.05226179893633269,0.22972146934603135,0.26629827207531415,0.0,0.15384615384615385,0.8675292582141629,0.07422153592667409,0.022554222261139865,0.03796868888679256,"[0.074, -0.012, 0.065, 0.139, 0.023, 0.029, 0.03, -0.028, -0.046, 0.038]"
