root,geom,btag,horizon,scheme,model,n,lam_hat,ic_pearson_log,ic_corrected,ic_spearman,r2_oos,r2_corrected,ic_ir,hit_rate,qlike_mean,m5_nonconv
ES,RTH,B1,30min,S-C_q0.90,M6_GK,2232,0.9989785910290314,0.621270550080055,0.6215880790025627,0.5526659165115959,0.0022470876862797917,0.002249385228531378,3.1247991929214334,0.5311519497982967,0.6026564650655403,0
NQ,RTH,B0,1day,S-A,M1_EWMA,1401,0.9946271430600871,0.7015963314321415,0.7034887489814394,0.7027956129621233,0.38241676339777353,0.3844825330437127,1.6862985357969789,0.5278571428571428,0.2714734388083432,0
NQ,RTH,B0,1day,S-A,M2_HAR,1401,0.9946271430600871,0.829133867415977,0.8313702922818431,0.8243908954956191,0.6757235943242298,0.679373772412129,2.9595711285366657,0.37357142857142855,0.15207892493232975,0
NQ,RTH,B0,1day,S-A,M3_HARJ,1401,0.9946271430600871,0.8211696061003141,0.8233845489441031,0.8160203685771626,0.6636358530284849,0.6672207345827416,3.055710561466521,0.3964285714285714,0.15837906063719023,0
NQ,RTH,B0,1day,S-A,M4_HARQ,1401,0.9946271430600871,-0.00278923696542751,-0.002796760381309333,0.8160144861446459,-364.527895894183,-366.4970320161082,2.340061146042468,0.375,2.4322001066669285e+293,0
NQ,RTH,B0,1day,S-A,M5_RGARCH,1401,0.9946271430600871,0.8143158064397402,0.8165122625124673,0.811885921829105,0.1415128800023372,0.14227731566520113,3.0980997397052055,0.3628571428571429,0.6618566309550106,0
NQ,RTH,B0,1day,S-A,M6_PARK,1401,0.9946271430600871,0.7531136810837631,0.7551450565098432,0.7387839989298167,0.32013686713240797,0.32186620822298223,3.066159080924078,0.49714285714285716,0.46722431383158375,0
NQ,RTH,B0,1day,S-A,M6_GK,1401,0.9946271430600871,0.7501250694417946,0.7521483836781765,0.7355143659213405,0.32325219075637024,0.3249983604527893,2.9590065385594744,0.4607142857142857,0.476530460107287,0
NQ,RTH,B0,1day,S-B_q0.80,M1_EWMA,280,0.9946271430600871,0.2424510978254332,0.24310506178136612,0.263182839431261,-0.8712295334365787,-0.875935811238912,2.9010735690494833,0.5842293906810035,0.4258601308107644,0
NQ,RTH,B0,1day,S-B_q0.80,M2_HAR,280,0.9946271430600871,0.5998729827487119,0.6014910216537701,0.5039949489151647,-0.5211775733255661,-0.523992912280779,3.4059859144538978,0.46953405017921146,0.28135591099926294,0
NQ,RTH,B0,1day,S-B_q0.80,M3_HARJ,280,0.9946271430600871,0.5930542127904005,0.5946538594101008,0.5032460326571221,-0.5478842186835182,-0.5508438237447333,3.293082465263026,0.4551971326164875,0.28691678354394345,0
NQ,RTH,B0,1day,S-B_q0.80,M4_HARQ,280,0.9946271430600871,0.006386274518321128,0.006403500232640978,0.4774762068758166,-6104.513354339159,-6137.489205812248,1.5429778439881958,0.46953405017921146,1.2169686962287024e+294,0
NQ,RTH,B0,1day,S-B_q0.80,M5_RGARCH,280,0.9946271430600871,0.523128442196406,0.5245394778592187,0.44414998004712164,-4.466524184698729,-4.490651814464808,3.7801400863662264,0.46953405017921146,1.382266380973759,0
NQ,RTH,B0,1day,S-B_q0.80,M6_PARK,280,0.9946271430600871,0.5218127173641692,0.5232202041190829,0.4854710909401802,-1.7068178524210804,-1.7160378784454393,2.909738883354924,0.5698924731182796,0.6557830535635552,0
NQ,RTH,B0,1day,S-B_q0.80,M6_GK,280,0.9946271430600871,0.5215963178336237,0.5230032208935393,0.4666639333956519,-1.9105703116157118,-1.92089098407029,2.9950810183568786,0.5268817204301075,0.7040671931479897,0
NQ,RTH,B0,1day,S-C_q0.80,M1_EWMA,280,0.9946271430600871,0.3006728786112164,0.3014838843228915,0.3057026966451831,0.015584475526045027,0.015668661000038223,1.38801752284366,0.5985663082437276,0.3401635812659674,0
NQ,RTH,B0,1day,S-C_q0.80,M2_HAR,280,0.9946271430600871,0.5947653832323336,0.5963696453963706,0.49203360830039744,0.31862990656491696,0.32035110723463134,2.337320337192006,0.4121863799283154,0.17651426595521924,0
NQ,RTH,B0,1day,S-C_q0.80,M3_HARJ,280,0.9946271430600871,0.5888612369909833,0.5904495738865144,0.4745488736190148,0.3024298611585249,0.3040635511193309,2.7068606712222696,0.41935483870967744,0.18227295923166306,0
NQ,RTH,B0,1day,S-C_q0.80,M4_HARQ,280,0.9946271430600871,-0.01506958225460442,-0.015110229476720005,0.4372490173890702,-3325.1762717499005,-3343.1384765145312,1.260955667090008,0.4121863799283154,1.2169686962287024e+294,0
NQ,RTH,B0,1day,S-C_q0.80,M5_RGARCH,280,0.9946271430600871,0.5105898655993355,0.5119670809279583,0.42436656444233073,-0.591130458793754,-0.5943236748748599,2.056612583224421,0.36200716845878134,0.7018070219065471,0
NQ,RTH,B0,1day,S-C_q0.80,M6_PARK,280,0.9946271430600871,0.5254743388127767,0.5268917020684327,0.49905989117753674,-0.023115397344453337,-0.02324026395794519,2.1385175895003337,0.6236559139784946,0.32981685922656634,0
NQ,RTH,B0,1day,S-C_q0.80,M6_GK,280,0.9946271430600871,0.5012079625962559,0.5025598720943127,0.4416791030497838,-0.037881646041701966,-0.038086278165659786,2.550821334486471,0.5627240143369175,0.35430576080519355,0
NQ,RTH,B0,1day,S-B_q0.90,M1_EWMA,140,0.9946271430600871,0.2035045751520659,0.20405348855444083,0.2000612276136538,-2.1007652099671312,-2.1121132925287767,,0.6115107913669064,0.6996059162846862,0
