nu,nsr,n,M,master,estimator,mean_recovery,sd_recovery
3.0,1e-05,390,26,3610172792,E1_a_L1-5,0.9996884048559395,0.029786177566899216
3.0,1e-05,390,26,3610172792,E1_a_L1-10,1.0002500507653247,0.02961179377968912
3.0,1e-05,390,26,3610172792,E1_d_L1-5,1.060554464383716,0.03829440310266719
3.0,1e-05,390,26,3610172792,E1_d_L1-10,1.1304910206399623,0.05136133886212304
3.0,1e-05,390,26,3610172792,E2,1.0029641270770697,0.02889825426729469
3.0,1e-05,390,26,3610172792,E4,1.1634018546711375,0.054697657013498706
3.0,1e-05,390,78,3610172792,E1_a_L1-5,0.9944519469141585,0.025133235550318152
3.0,1e-05,390,78,3610172792,E1_a_L1-10,0.9945495054173776,0.02518768814049873
3.0,1e-05,390,78,3610172792,E1_d_L1-5,1.054926139507838,0.032921459699585896
3.0,1e-05,390,78,3610172792,E1_d_L1-10,1.1270628696639275,0.0473223590844014
3.0,1e-05,390,78,3610172792,E2,0.9963272703244985,0.022374812739649527
3.0,1e-05,390,78,3610172792,E4,1.1261552411152018,0.045818073039121616
3.0,1e-05,390,195,3610172792,E1_a_L1-5,0.9864333168067009,0.023115077463578916
3.0,1e-05,390,195,3610172792,E1_a_L1-10,0.9868616346929063,0.02335608130838396
3.0,1e-05,390,195,3610172792,E1_d_L1-5,1.045286285515247,0.03114115923335052
3.0,1e-05,390,195,3610172792,E1_d_L1-10,1.1176022423799845,0.04600235372391147
3.0,1e-05,390,195,3610172792,E2,0.9868663705284404,0.01944532618810753
3.0,1e-05,390,195,3610172792,E4,1.1108540468911925,0.04195287329095912
3.0,1e-05,390,390,3610172792,E1_a_L1-5,0.973950585756869,0.022639986004139866
3.0,1e-05,390,390,3610172792,E1_a_L1-10,0.9739870801046464,0.022808014548508698
3.0,1e-05,390,390,3610172792,E1_d_L1-5,1.0322505656474457,0.03053630964413024
3.0,1e-05,390,390,3610172792,E1_d_L1-10,1.101239443288558,0.04603763269795178
3.0,1e-05,390,390,3610172792,E2,0.9727569901005043,0.01954594887529849
3.0,1e-05,390,390,3610172792,E4,1.094744278420893,0.04162859958626771
3.0,1e-05,390,13,338961480,E1_a_L1-5,1.0031722543716595,0.038791087967078315
3.0,1e-05,390,13,338961480,E1_a_L1-10,1.0037330928332218,0.037755820817279136
3.0,1e-05,390,13,338961480,E1_d_L1-5,1.0673943648804407,0.047650741359589945
3.0,1e-05,390,13,338961480,E1_d_L1-10,1.139391988309531,0.06313283268079171
3.0,1e-05,390,13,338961480,E2,1.004682991685991,0.04244859190677499
3.0,1e-05,390,13,338961480,E4,1.2399674812489885,0.07435794222354318
3.0,1e-05,390,26,338961480,E1_a_L1-5,1.0010590428325856,0.03041782069806179
3.0,1e-05,390,26,338961480,E1_a_L1-10,1.001846552296608,0.02880035935084301
3.0,1e-05,390,26,338961480,E1_d_L1-5,1.0626923201992025,0.03995363071555394
3.0,1e-05,390,26,338961480,E1_d_L1-10,1.1381725629830708,0.05490001639962459
3.0,1e-05,390,26,338961480,E2,1.0018636063975543,0.027271836746192695
3.0,1e-05,390,26,338961480,E4,1.1656830252024033,0.05318465386274861
3.0,1e-05,390,78,338961480,E1_a_L1-5,0.9975140471939281,0.023001045465616078
3.0,1e-05,390,78,338961480,E1_a_L1-10,0.9971276677624733,0.02333609008051551
3.0,1e-05,390,78,338961480,E1_d_L1-5,1.0585238120995188,0.030078418380754843
3.0,1e-05,390,78,338961480,E1_d_L1-10,1.1324770446748935,0.047457967513891385
3.0,1e-05,390,78,338961480,E2,0.9963054085856322,0.020137315361833722
3.0,1e-05,390,78,338961480,E4,1.1300018847325317,0.04374940130427969
3.0,1e-05,390,195,338961480,E1_a_L1-5,0.9877628566383606,0.019358114949222568
