root,geom,btag,horizon,M,year,tercile,n,estimator,lam
ES,GLOBEX,B0,1day,46,2017,0,243,E1_a_exp_L1-10,0.47837581036434096
ES,GLOBEX,B0,1day,46,2017,0,243,E1_d_model_L1-10,1.4224043394453314
ES,GLOBEX,B0,1day,46,2017,0,243,E2,0.48418193275831295
ES,GLOBEX,B0,1day,46,2017,0,243,E4,0.8713456279633254
ES,GLOBEX,B0,1day,46,2018,1,80,E1_a_exp_L1-5,0.6460123337317545
ES,GLOBEX,B0,1day,46,2018,1,80,E1_d_model_L1-5,7.174110094674968
ES,GLOBEX,B0,1day,46,2018,1,80,E1_a_exp_L1-10,0.5537246490825055
ES,GLOBEX,B0,1day,46,2018,1,80,E1_d_model_L1-10,1.8805134705650102
ES,GLOBEX,B0,1day,46,2018,1,80,E2,0.5109500957111149
ES,GLOBEX,B0,1day,46,2018,1,80,E4,0.7894304836816446
ES,GLOBEX,B0,1day,46,2018,2,81,E1_a_exp_L1-5,0.3672510853405918
ES,GLOBEX,B0,1day,46,2018,2,81,E1_d_model_L1-5,0.453677777560449
ES,GLOBEX,B0,1day,46,2018,2,81,E1_a_exp_L1-10,0.48671963670090396
ES,GLOBEX,B0,1day,46,2018,2,81,E1_d_model_L1-10,1.5894974789866312
ES,GLOBEX,B0,1day,46,2018,2,81,E2,0.1143411100538966
ES,GLOBEX,B0,1day,46,2018,2,81,E4,0.7362891521876849
ES,GLOBEX,B0,1day,46,2018,3,82,E1_a_exp_L1-5,0.8706587712332332
ES,GLOBEX,B0,1day,46,2018,3,82,E1_d_model_L1-5,-21.4596562763901
ES,GLOBEX,B0,1day,46,2018,3,82,E1_a_exp_L1-10,0.8699417887821677
ES,GLOBEX,B0,1day,46,2018,3,82,E1_d_model_L1-10,-12.972288736193233
ES,GLOBEX,B0,1day,46,2018,3,82,E2,0.7632209817831788
ES,GLOBEX,B0,1day,46,2018,3,82,E4,0.8903043263352348
ES,GLOBEX,B0,1day,46,2018,0,243,E1_a_exp_L1-5,0.8315055239314905
ES,GLOBEX,B0,1day,46,2018,0,243,E1_d_model_L1-5,1.0327381525147794
ES,GLOBEX,B0,1day,46,2018,0,243,E1_a_exp_L1-10,0.8153160352061921
ES,GLOBEX,B0,1day,46,2018,0,243,E1_d_model_L1-10,1.298086014249901
ES,GLOBEX,B0,1day,46,2018,0,243,E2,0.8266883909026689
ES,GLOBEX,B0,1day,46,2018,0,243,E4,0.953572327753406
ES,GLOBEX,B0,1day,46,2019,1,90,E1_a_exp_L1-5,0.13631625420235405
ES,GLOBEX,B0,1day,46,2019,1,90,E1_d_model_L1-5,0.22951628510551886
ES,GLOBEX,B0,1day,46,2019,1,90,E1_a_exp_L1-10,0.18587974832447154
ES,GLOBEX,B0,1day,46,2019,1,90,E1_d_model_L1-10,0.8212089982404636
ES,GLOBEX,B0,1day,46,2019,1,90,E2,0.22768989504017711
ES,GLOBEX,B0,1day,46,2019,1,90,E4,0.8393950674735822
ES,GLOBEX,B0,1day,46,2019,2,99,E1_a_exp_L1-5,0.2508276339814615
ES,GLOBEX,B0,1day,46,2019,2,99,E1_d_model_L1-5,0.5188924564185331
ES,GLOBEX,B0,1day,46,2019,2,99,E1_a_exp_L1-10,0.2793006671902399
ES,GLOBEX,B0,1day,46,2019,2,99,E1_d_model_L1-10,1.3942858232871576
ES,GLOBEX,B0,1day,46,2019,2,99,E2,0.16098419610416534
ES,GLOBEX,B0,1day,46,2019,2,99,E4,0.7486274903917998
ES,GLOBEX,B0,1day,46,2019,3,54,E1_a_exp_L1-5,0.45726459372190464
ES,GLOBEX,B0,1day,46,2019,3,54,E1_d_model_L1-5,2.508032826567738
ES,GLOBEX,B0,1day,46,2019,3,54,E1_a_exp_L1-10,0.7441527513097184
ES,GLOBEX,B0,1day,46,2019,3,54,E1_d_model_L1-10,-1.0338877563913351
ES,GLOBEX,B0,1day,46,2019,3,54,E2,0.04005701754453961
ES,GLOBEX,B0,1day,46,2019,3,54,E4,0.7547718481669369
ES,GLOBEX,B0,1day,46,2019,0,243,E1_a_exp_L1-5,0.7090151422304544
ES,GLOBEX,B0,1day,46,2019,0,243,E1_d_model_L1-5,1.0168876032009393
ES,GLOBEX,B0,1day,46,2019,0,243,E1_a_exp_L1-10,0.7154261768446433
ES,GLOBEX,B0,1day,46,2019,0,243,E1_d_model_L1-10,1.39190763199206
ES,GLOBEX,B0,1day,46,2019,0,243,E2,0.7051935250801836
ES,GLOBEX,B0,1day,46,2019,0,243,E4,0.9331936102986325
ES,GLOBEX,B0,1day,46,2020,1,30,E1_a_exp_L1-5,0.08662745669384654
ES,GLOBEX,B0,1day,46,2020,1,30,E1_d_model_L1-5,-0.427797201650791
ES,GLOBEX,B0,1day,46,2020,1,30,E1_a_exp_L1-10,0.15573519859384935
ES,GLOBEX,B0,1day,46,2020,1,30,E1_d_model_L1-10,-0.4281062837561714
ES,GLOBEX,B0,1day,46,2020,1,30,E2,0.6432344817954966
ES,GLOBEX,B0,1day,46,2020,1,30,E4,0.8650907097962419
ES,GLOBEX,B0,1day,46,2020,2,71,E1_a_exp_L1-5,0.2971585346341961
ES,GLOBEX,B0,1day,46,2020,2,71,E1_d_model_L1-5,1.1904167440500295
ES,GLOBEX,B0,1day,46,2020,2,71,E1_a_exp_L1-10,0.2160017640745163
ES,GLOBEX,B0,1day,46,2020,2,71,E1_d_model_L1-10,0.9369901616655986
ES,GLOBEX,B0,1day,46,2020,2,71,E2,-0.20763908045788845
ES,GLOBEX,B0,1day,46,2020,2,71,E4,0.7291939927676236
ES,GLOBEX,B0,1day,46,2020,3,143,E1_a_exp_L1-5,0.8571054305352207
ES,GLOBEX,B0,1day,46,2020,3,143,E1_d_model_L1-5,1.0834848574223637
ES,GLOBEX,B0,1day,46,2020,3,143,E1_a_exp_L1-10,0.8303613629513047
ES,GLOBEX,B0,1day,46,2020,3,143,E1_d_model_L1-10,1.2951930650209709
ES,GLOBEX,B0,1day,46,2020,3,143,E2,0.793006683269427
ES,GLOBEX,B0,1day,46,2020,3,143,E4,0.9476422682691451
ES,GLOBEX,B0,1day,46,2020,0,244,E1_a_exp_L1-5,0.8617364873536709
ES,GLOBEX,B0,1day,46,2020,0,244,E1_d_model_L1-5,1.0106606039032722
ES,GLOBEX,B0,1day,46,2020,0,244,E1_a_exp_L1-10,0.8774579820164342
ES,GLOBEX,B0,1day,46,2020,0,244,E1_d_model_L1-10,1.2374144205800253
ES,GLOBEX,B0,1day,46,2020,0,244,E2,0.85736937867908
ES,GLOBEX,B0,1day,46,2020,0,244,E4,0.9681959272792143
ES,GLOBEX,B0,1day,46,2021,1,90,E1_a_exp_L1-5,0.05909999660698173
