nu,nsr,n,M,estimator,recovery,between_seed_sd
3.4,3e-05,390,78,E1_d_L1-5,1.0446397047658278,0.0012905000510167197
3.4,3e-05,390,78,E2,0.9849784049979796,0.001480344152150948
3.4,3e-05,390,78,E4,1.0587467138931634,0.0015604725490632858
3.4,3e-05,390,195,E1_a_L1-10,0.9634602809938491,0.0018806740221949632
3.4,3e-05,390,195,E1_a_L1-5,0.9631358573092555,0.0016112907318369066
3.4,3e-05,390,195,E1_d_L1-10,1.092473554024346,0.002676555164461188
3.4,3e-05,390,195,E1_d_L1-5,1.0205328170938677,0.0014208102282359867
3.4,3e-05,390,195,E2,0.9615648799793277,0.0013863120498379328
3.4,3e-05,390,195,E4,1.0296672514978964,0.0014838579247585008
3.4,3e-05,390,390,E1_a_L1-10,0.9282261749981409,0.0021764474798272385
3.4,3e-05,390,390,E1_a_L1-5,0.9279137705268548,0.0018614581766623092
3.4,3e-05,390,390,E1_d_L1-10,1.0523817245112217,0.0036165166445383885
