root,geom,btag,horizon,M,year,tercile,n,E1_a_exp_L1-10,E1_a_exp_L1-5,E1_d_model_L1-10,E1_d_model_L1-5,E2,E4,disagreement
NQ,GLOBEX,B0,1day,46,2022,0,245,0.4294286123759398,0.44259588868646105,0.6742155904901996,0.5588716130531319,0.43282240379863984,0.869239173883057,0.4398105615071172
NQ,GLOBEX,B0,1day,46,2022,2,35,-0.05757846574953333,0.02169053198910998,0.04065001060972828,0.02321369356802262,-1.4381633413691721,0.5155143422029145,1.9536776835720866
NQ,GLOBEX,B0,1day,46,2022,3,207,0.42069018302728345,0.36770666604762875,0.7277850976521392,0.44596467689992647,0.29570963813862966,0.8251101664170812,0.5294005282784515
NQ,GLOBEX,B0,1day,46,2023,0,244,0.4101780285982525,0.41399851811143856,0.668354788607736,0.5325010641407018,0.5206934910924783,0.8925292471390021,0.4823512185407496
NQ,GLOBEX,B0,1day,46,2023,1,49,-0.056265331920805656,0.466478989697109,-0.06050907861010607,-0.3121805961385787,0.4685068848646276,0.8885370552954295,1.200717651434008
NQ,GLOBEX,B0,1day,46,2023,2,140,0.2797241786841063,0.23719075148542515,0.5620446780771325,0.31856815208474293,0.377438267159025,0.731508183868714,0.49431743238328885
NQ,GLOBEX,B0,1day,46,2023,3,55,0.3223963060579802,0.5486872403581939,0.5955401399225815,0.950899671401752,0.0656106872064068,0.8189020181055986,0.8852889841953452
NQ,GLOBEX,B0,1day,138,0,0,1948,0.8150383661164089,0.8276719268422953,1.0263464020312747,0.9405140778677304,0.8677956267438116,0.982813115999911,0.2113080359148658
NQ,GLOBEX,B0,1day,138,0,1,650,0.3682179902464284,0.4448294293594885,0.659392762296622,0.7106790263207525,0.5696975212100992,0.9446674021790129,0.5764494119325845
NQ,GLOBEX,B0,1day,138,0,2,649,0.399305756355863,0.43019559106565325,0.7102963694292967,0.6053829257454689,0.44774598359324064,0.9144754944237005,0.5151697380678375
NQ,GLOBEX,B0,1day,138,0,3,649,0.6819901994428522,0.7254344482639891,1.2247110552981444,1.0399338072561057,0.7790433978850804,0.9607214926056318,0.5427208558552922
NQ,GLOBEX,B0,1day,138,2016,0,241,0.7380327864573222,0.7457537860353919,1.0401030947921641,0.9124872354429107,0.9016741622178314,0.9780154173260658,0.30207030833484194
NQ,GLOBEX,B0,1day,138,2016,1,111,0.43095493813359403,0.5704110938870911,1.3032587518806211,1.8041002753843338,0.37920780765268153,0.9219263697284436,1.4248924677316523
NQ,GLOBEX,B0,1day,138,2016,2,89,0.3463498736951302,0.3275382573474113,0.6752934265524123,0.41937344119240166,0.5690937384046338,0.9227111697696416,0.5951729124222302
NQ,GLOBEX,B0,1day,138,2016,3,41,0.9234983949311134,0.8704404164925847,-2.14055300574357,-31.427867583967767,0.6878144593416305,0.9548445462430897,32.382712130210855
NQ,GLOBEX,B0,1day,138,2017,0,242,0.7118524435766739,0.7494926548447379,2.359522594707144,1.6403058756114937,0.6013474526508994,0.9462668586893027,1.7581751420562446
NQ,GLOBEX,B0,1day,138,2017,1,194,0.568513270290991,0.685188771864468,2.2263524787903664,2.041370079263857,0.530874131450505,0.9218481806928518,1.6954783473398614
NQ,GLOBEX,B0,1day,138,2017,2,42,-0.056850793502516636,-0.3097763691625571,-0.1381883674371976,1.4813266178155506,-0.12331870418447764,0.8804417289048909,1.7911029869781077
NQ,GLOBEX,B0,1day,138,2018,0,243,0.8963932192876918,0.8441274665210953,1.509981178916333,1.0483278905662432,0.8623842655190426,0.9801431242900436,0.6658537123952378
NQ,GLOBEX,B0,1day,138,2018,1,72,0.15654586245636054,0.1650542104060102,0.4358837115100423,0.31101940706669423,0.30044314773439385,0.9017276200957247,0.7451817576393642
NQ,GLOBEX,B0,1day,138,2018,2,84,0.9189491427955371,0.9193393384556353,53.93329425516083,-5.711893791715657,0.47065896163438625,0.9161408551366985,59.64518804687649
NQ,GLOBEX,B0,1day,138,2018,3,87,1.3712578777476907,1.3254136026316472,-2.1437123732852945,-3.038977676751042,0.8969054720118839,0.9537460073424623,4.410235554498732
NQ,GLOBEX,B0,1day,138,2019,0,243,0.7257640191864544,0.7751494777113218,1.3469069964613543,1.133503074424078,0.7318257422042632,0.9686134802654353,0.6211429772748999
NQ,GLOBEX,B0,1day,138,2019,1,100,0.4176770317156805,0.4399929859533704,0.9808815324926037,0.7402492555797907,0.5418490949321251,0.9402017333706962,0.5632045007769232
NQ,GLOBEX,B0,1day,138,2019,2,91,0.4368617475381566,0.3214614764554062,-8.675833473812073,0.6978935945579118,0.600931445924426,0.9081126540218968,9.58394612783397
NQ,GLOBEX,B0,1day,138,2019,3,52,0.8181184981374249,0.6795901632170508,-1.195652588607617,7.0243881271398445,0.4389517870102848,0.9320532488761171,8.220040715747462
