root,geom,btag,horizon,scheme,n_obs,pvals,mcs75,mcs90
NQ,GLOBEX,B1,1day,S-C_q0.90,145,"{""M1_EWMA"": 0.0085, ""M5_RGARCH"": 0.0085, ""M6_PARK"": 0.1026, ""M6_GK"": 0.1026, ""M2_HAR"": 1.0, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK
NQ,GLOBEX,B1,1h,S-A,39503,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B1,1h,S-B_q0.80,7901,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B1,1h,S-C_q0.80,7901,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B1,1h,S-B_q0.90,3951,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B1,1h,S-C_q0.90,3951,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B1,30min,S-A,83735,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B1,30min,S-B_q0.80,16747,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B1,30min,S-C_q0.80,16747,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B1,30min,S-B_q0.90,8374,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B1,30min,S-C_q0.90,8374,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
ES,RTH,B0,1day,S-A,1401,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M5_RGARCH"": 0.0, ""M3_HARJ"": 0.0855, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
ES,RTH,B0,1day,S-B_q0.80,280,"{""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0661, ""M3_HARJ"": 0.0807, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
ES,RTH,B0,1day,S-C_q0.80,280,"{""M6_GK"": 0.0171, ""M1_EWMA"": 0.039, ""M6_PARK"": 0.039, ""M5_RGARCH"": 0.039, ""M3_HARJ"": 0.072, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
ES,RTH,B0,1day,S-B_q0.90,140,"{""M5_RGARCH"": 0.0001, ""M6_GK"": 0.0188, ""M6_PARK"": 0.0648, ""M1_EWMA"": 0.092, ""M3_HARJ"": 0.2499, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B0,1day,S-C_q0.90,140,"{""M1_EWMA"": 0.0729, ""M6_GK"": 0.0729, ""M6_PARK"": 0.1972, ""M5_RGARCH"": 0.1972, ""M3_HARJ"": 0.4121, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK
ES,RTH,B0,1h,S-A,10906,"{""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
ES,RTH,B0,1h,S-B_q0.80,2181,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0003, ""M3_HARJ"": 0.0278, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
ES,RTH,B0,1h,S-C_q0.80,2181,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.2749, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B0,1h,S-B_q0.90,1091,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0084, ""M3_HARJ"": 0.1475, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B0,1h,S-C_q0.90,1091,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.7273, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B0,30min,S-A,22312,"{""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.7479, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B0,30min,S-B_q0.80,4463,"{""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.4249, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B0,30min,S-C_q0.80,4463,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.5715, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B0,30min,S-B_q0.90,2232,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.4465, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B0,30min,S-C_q0.90,2232,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.7319, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B1,1day,S-A,1401,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0014, ""M3_HARJ"": 0.0256, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
ES,RTH,B1,1day,S-B_q0.80,280,"{""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0533, ""M3_HARJ"": 0.1978, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B1,1day,S-C_q0.80,280,"{""M1_EWMA"": 0.0165, ""M6_GK"": 0.0165, ""M6_PARK"": 0.0165, ""M5_RGARCH"": 0.0165, ""M3_HARJ"": 0.2828, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B1,1day,S-B_q0.90,140,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0112, ""M1_EWMA"": 0.0601, ""M6_PARK"": 0.0601, ""M3_HARJ"": 0.4792, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
ES,RTH,B1,1day,S-C_q0.90,140,"{""M1_EWMA"": 0.0553, ""M6_GK"": 0.0553, ""M5_RGARCH"": 0.131, ""M6_PARK"": 0.1924, ""M3_HARJ"": 0.7354, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK
ES,RTH,B1,1h,S-A,10906,"{""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0011, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
