arm,grid,seed_index,estimator,ratio_max_min,elasticity,mean_abs_error_vs_true,mean_lam,mean_lam_true
A2,RTH_1day,1,E1_d_model_L1-10,1.0,,0.981990592178819,-0.0019369758459663942,0.9800536163328526
A2,RTH_1day,1,E1_d_model_L1-5,3.4198292134929047,0.12164137615753105,0.9664134587449662,0.013640157587886356,0.9800536163328526
A2,RTH_1day,1,E2,1.0621987828079829,-0.7146115107937564,0.16222226683452623,0.8178313494983264,0.9800536163328526
A2,RTH_1day,1,E4,1.2958039960095742,-0.8690864538376153,0.10298880879293315,0.9140397220700001,0.9800536163328526
A2,RTH_1day,2,E1_a_exp_L1-10,5.815708785024867,0.33736671152939013,0.9346077995107788,0.023901549655354452,0.9585093491661333
A2,RTH_1day,2,E1_a_exp_L1-5,3.144164089043927,0.15743966432416995,0.939096462542022,0.019412886624111208,0.9585093491661333
A2,RTH_1day,2,E1_d_model_L1-10,19.492263873641697,0.5450980768118985,0.9125299334139462,0.04597941575218708,0.9585093491661333
A2,RTH_1day,2,E1_d_model_L1-5,3.1415466004962567,0.15205662269479114,0.9375237166576661,0.02098563250846711,0.9585093491661333
A2,RTH_1day,2,E2,1.0565484174749107,-0.6723144349017541,0.13273801557182946,0.8257713335943038,0.9585093491661333
A2,RTH_1day,2,E4,1.3070869235206695,-0.8642997641325438,0.08832325517829745,0.9168346660047151,0.9585093491661333
A2,RTH_1day,3,E1_a_exp_L1-10,1.166900104329708,,1.0104840865909437,0.009973318124599416,1.0204574047155432
A2,RTH_1day,3,E1_a_exp_L1-5,1.2845511769112297,-0.13438418565729626,0.9910415634119627,0.029415841303580416,1.0204574047155432
A2,RTH_1day,3,E1_d_model_L1-10,,,1.045236069872857,-0.02477866515731391,1.0204574047155432
A2,RTH_1day,3,E1_d_model_L1-5,,,1.0517216639452296,-0.03126425922968641,1.0204574047155432
A2,RTH_1day,3,E2,1.127180944292522,-0.7179986803392525,0.20642667023326922,0.8140307344822739,1.0204574047155432
A2,RTH_1day,3,E4,1.2625495704184577,-0.869593140385312,0.12105238297662967,0.9166665043799684,1.0204574047155432
A2,RTH_1day,4,E1_a_exp_L1-10,,,1.0031651752910702,-0.015209615136699352,0.9879555601543708
A2,RTH_1day,4,E1_a_exp_L1-5,,,1.0005338160629997,-0.012578255908628832,0.9879555601543708
A2,RTH_1day,4,E1_d_model_L1-10,1.0125134332691064,-0.03800383941532346,0.9147613882714083,0.0731941718829626,0.9879555601543708
A2,RTH_1day,4,E1_d_model_L1-5,,,1.0015836958594357,-0.013628135705064794,0.9879555601543708
A2,RTH_1day,4,E2,1.0866029544223994,-0.7320755824099595,0.16053267272600852,0.8274228874283625,0.9879555601543708
A2,RTH_1day,4,E4,1.3548154885403374,-0.8634948291755966,0.10515337377368417,0.9186940402271209,0.9879555601543708
