cell,model,n_eval,n_replaced,share_replaced,replacement_value,mean_qlike,share_qlike_from_replaced,share_qlike_worst5,flag_replaced_over_quarter,ic
NQ/RTH/B1/1day,M6_GK,1401,0,0.0,5.398064786277246e-06,0.3152418924277181,0.0,0.08073626354613367,False,0.7613639407276012
NQ/RTH/B0/1h,M1_EWMA,10906,0,0.0,1.608227648830507e-06,0.3790145483589291,0.0,0.02595550610654202,False,0.7410663374498837
NQ/RTH/B0/1h,M2_HAR,10906,0,0.0,1.608227648830507e-06,0.32001574108112607,0.0,0.0226281830917,False,0.8054778523460177
NQ/RTH/B0/1h,M3_HARJ,10906,0,0.0,1.608227648830507e-06,0.3224571749331398,0.0,0.022919625457372767,False,0.8040235575941984
NQ/RTH/B0/1h,M4_HARQ,10906,2,0.00018338529249954154,1.608227648830507e-06,0.35694258876858087,0.08596352636157908,0.10067951943325905,False,0.8032982552824204
NQ/RTH/B0/1h,M5_RGARCH,10906,0,0.0,1.608227648830507e-06,3.908738337920995,0.0,0.027302601010998545,False,0.6692721342529524
NQ/RTH/B0/1h,M6_PARK,10906,0,0.0,1.608227648830507e-06,0.9435225405567095,0.0,0.02756864695763864,False,0.7229341305592318
NQ/RTH/B0/1h,M6_GK,10906,0,0.0,1.608227648830507e-06,0.8356375946880833,0.0,0.026826848015424412,False,0.7320049877602174
NQ/RTH/B0/30min,M1_EWMA,22312,0,0.0,1.1104184522992e-06,0.38884034779571786,0.0,0.022841929359343188,False,0.7576888492256573
NQ/RTH/B0/30min,M2_HAR,22312,0,0.0,1.1104184522992e-06,0.29017719124802605,0.0,0.017186616110800898,False,0.839199545407499
NQ/RTH/B0/30min,M3_HARJ,22312,0,0.0,1.1104184522992e-06,0.29020358479366737,0.0,0.017015245883313882,False,0.8391257592006978
NQ/RTH/B0/30min,M4_HARQ,22312,2,8.963786303334529e-05,1.1104184522992e-06,0.3086307520144794,0.05104608410375547,0.06354646200709241,False,0.8415948304069191
NQ/RTH/B0/30min,M5_RGARCH,22312,0,0.0,1.1104184522992e-06,2.8195364659180058,0.0,0.014267064935329333,False,0.7774120144687213
