root,geom,btag,horizon,scheme,model,n,ic_pearson_log,r2_oos,ic_ir,ic_ir_n_blocks,ic_ir_block_len_windows,hit_rate,qlike_mean,lam_E2,ic_corrected_E2,r2_corrected_E2,lam_E4,ic_corrected_E4,r2_corrected_E4,lam_INT,ic_corrected_INT,r2_corrected_INT
NQ,RTH,B1,1day,S-B_q0.80,M6_PARK,280,0.526367778594032,-1.303788958145264,3.099614027872873,4,63,0.5555555555555556,0.5060014450054774,0.9344009680731142,0.5445310593415797,-1.3953206414521246,0.994621494991568,0.5277890502750167,-1.310839313960651,1.0097312791173454,0.5238252046052346,-1.2912236999184263
NQ,RTH,B1,1day,S-B_q0.80,M6_GK,280,0.5308616046084231,-1.2518913680933723,3.3253223165760075,4,63,0.5125448028673835,0.4832530674680326,0.9344009680731142,0.5491799530231978,-1.3397796137508018,0.994621494991568,0.532295010291361,-1.2586610830323803,1.0097312791173454,0.5282973235820769,-1.2398262725778988
NQ,RTH,B1,1day,S-C_q0.80,M1_EWMA,280,0.25571220060842964,-0.024905064284759915,1.1184658300332888,4,63,0.5734767025089605,0.37306291231685224,0.9344009680731142,0.2645360167292229,-0.026653508649630554,0.994621494991568,0.2564026617726327,-0.025039740655284196,1.0097312791173454,0.2544770049594448,-0.024665041877805972
NQ,RTH,B1,1day,S-C_q0.80,M2_HAR,280,0.5974861027508729,0.3222128312522464,2.2657886890265617,4,63,0.4121863799283154,0.17812091521813203,0.9344009680731142,0.6181034510543909,0.3448335802955142,0.994621494991568,0.5990994045374867,0.32395522605810767,1.0097312791173454,0.5945999978536847,0.31910750703286933
NQ,RTH,B1,1day,S-C_q0.80,M3_HARJ,280,0.5826878160330932,0.2920318422827739,2.5018137741409143,4,63,0.41935483870967744,0.196592389807657,0.9344009680731142,0.6027945224486224,0.3125337539889227,0.994621494991568,0.5842611602335963,0.293611030681827,1.0097312791173454,0.5798731929788625,0.2892173871627043
NQ,RTH,B1,1day,S-C_q0.80,M4_HARQ,280,0.4145551597100031,-0.025241845802814966,1.5257357244980043,4,63,0.4157706093189964,0.9402542333178379,0.9344009680731142,0.42886014200065475,-0.027013933702217507,0.994621494991568,0.4156745206068188,-0.025378343349626638,1.0097312791173454,0.4125526868975224,-0.024998577666010383
NQ,RTH,B1,1day,S-C_q0.80,M5_RGARCH,280,0.5174415107181667,-0.4490405982080823,2.03439183477141,4,63,0.3655913978494624,0.6403115911266747,0.9344009680731142,0.5352967743034743,-0.4805652108153061,0.994621494991568,0.5188386801416334,-0.4514688255474401,1.0097312791173454,0.5149420542936298,-0.44471297214899613
NQ,RTH,B1,1day,S-C_q0.80,M6_PARK,280,0.5349438354916162,0.010387502019992945,2.2798349131195508,4,63,0.6308243727598566,0.27452693002969575,0.9344009680731142,0.5534030487325126,0.01111675006224967,0.994621494991568,0.5363882638081297,0.010443673369517322,1.0097312791173454,0.5323598356023723,0.010287392531875569
NQ,RTH,B1,1day,S-C_q0.80,M6_GK,280,0.5222351973268604,0.057610616582542296,2.611230291165541,4,63,0.5519713261648745,0.26316005304184975,0.9344009680731142,0.5402558758164048,0.06165513366423913,0.994621494991568,0.5236453104207064,0.05792215116266987,1.0097312791173454,0.5197125854141319,0.05705539461241856
NQ,RTH,B1,1day,S-B_q0.90,M1_EWMA,140,0.13470554717131353,-2.357418986210542,,2,63,0.6258992805755396,0.7659290677428144,0.9344009680731142,0.13935380789513652,-2.522920102567874,0.994621494991568,0.13506927228377674,-2.3701669409733874,1.0097312791173454,0.13405486368666075,-2.3346993749379292
NQ,RTH,B1,1day,S-B_q0.90,M2_HAR,140,0.5745691103794345,-1.0697954252546173,,2,63,0.4316546762589928,0.36445454109049413,0.9344009680731142,0.5943956660408883,-1.1448997398415675,0.994621494991568,0.5761205328611299,-1.075580440038335,1.0097312791173454,0.5717937040300577,-1.0594852782908508
NQ,RTH,B1,1day,S-B_q0.90,M3_HARJ,140,0.5515816800698568,-1.1372660691664165,,2,63,0.41007194244604317,0.3804895595645689,0.9344009680731142,0.5706150124996515,-1.2171071178486073,0.994621494991568,0.553071033053672,-1.1434159375130513,1.0097312791173454,0.548917312512654,-1.126305674278562
NQ,RTH,B1,1day,S-B_q0.90,M4_HARQ,140,0.4388350324830744,-2.155869658892861,,2,63,0.43884892086330934,1.8532360794702547,0.9344009680731142,0.45397783609111364,-2.3072211315647637,0.994621494991568,0.4400199526656094,-2.1675277175777685,1.0097312791173454,0.43671527784698166,-2.135092478047635
NQ,RTH,B1,1day,S-B_q0.90,M5_RGARCH,140,0.5261915138367388,-6.005025671822047,,2,63,0.43884892086330934,1.63846456319654,0.9344009680731142,0.5443487122471777,-6.426604720032964,0.994621494991568,0.5276123095765316,-6.037498387135655,1.0097312791173454,0.5236497912795929,-5.947152273099164
NQ,RTH,B1,1day,S-B_q0.90,M6_PARK,140,0.4981249520936876,-1.467459300778685,,2,63,0.5683453237410072,0.49343137811622173,0.9344009680731142,0.515313662573655,-1.5704813574891976,0.994621494991568,0.49946996392152715,-1.4753947186624248,1.0097312791173454,0.49571880263342366,-1.4533166706110774
NQ,RTH,B1,1day,S-B_q0.90,M6_GK,140,0.5014802221602728,-1.5254779292331624,,2,63,0.49640287769784175,0.48675941705464426,0.9344009680731142,0.5187847123567836,-1.6325731472420715,0.994621494991568,0.5028342937188208,-1.5337270880578493,1.0097312791173454,0.4990578653584054,-1.5107761448834742
NQ,RTH,B1,1day,S-C_q0.90,M1_EWMA,140,0.1144275504346669,-0.20957301899271252,,2,63,0.5611510791366906,0.5471771695285139,0.9344009680731142,0.11837608187660002,-0.22428596090272246,0.994621494991568,0.11473652192488927,-0.21070630390356604,1.0097312791173454,0.11387481805785973,-0.20755326028516258
NQ,RTH,B1,1day,S-C_q0.90,M2_HAR,140,0.6284234982275421,0.316573953717735,,2,63,0.4316546762589928,0.1714145649790442,0.9344009680731142,0.6501083978183779,0.3387988289123476,0.994621494991568,0.6301203356063075,0.3182858557871995,1.0097312791173454,0.6253879529196391,0.31352297414661406
NQ,RTH,B1,1day,S-C_q0.90,M3_HARJ,140,0.6177740013649252,0.3113386212643864,,2,63,0.4172661870503597,0.18061046217897117,0.9344009680731142,0.6390914206326825,0.3331959532388081,0.994621494991568,0.6194420835103289,0.31302221280370157,1.0097312791173454,0.6147898975297298,0.30833809717823385
NQ,RTH,B1,1day,S-C_q0.90,M4_HARQ,140,0.34353991483135043,-0.3001444642674458,,2,63,0.4316546762589928,1.6954993044325868,0.9344009680731142,0.35539438650463073,-0.3212159174945978,0.994621494991568,0.3444675239519958,-0.3017675223980458,1.0097312791173454,0.3418804750117304,-0.29725182380188964
