root,geom,H,M,sigma_w,implied_rq_rv2,measured_rq_rv2,constant_vol_value,abs_discrepancy,prop_discrepancy,sd_log_within_window_var,is_calibration_point
ES,GLOBEX,0.2,46,2.6065675798952577,2.045578830815897,1.9310404331398572,1.0,0.11453839767603968,0.0593143445939146,1.3767942054293496,False
ES,GLOBEX,0.2,138,2.6065675798952577,2.642920075245048,2.5830500178398483,1.0,0.059870057405199795,0.023178048040768395,1.3767942054293496,False
ES,GLOBEX,0.2,276,2.6065675798952577,3.0435088749170642,3.0435090492344745,1.0,-1.743174102841749e-07,-5.727514107434217e-08,1.3767942054293496,True
ES,GLOBEX,0.2,345,2.6065675798952577,3.09020314696032,3.1225930177913095,1.0,-0.03238987083098932,-0.010372748112368324,1.3767942054293496,False
ES,GLOBEX,0.2,1379,2.6065675798952577,4.0349834078943445,4.343470450944951,1.0,-0.30848704305060615,-0.07102317064997943,1.3767942054293496,False
ES,GLOBEX,0.3,5,2.9202926112115386,0.8738822877177216,0.847129137080731,1.0,0.026753150636990575,0.031580959107585294,1.3678236878797532,False
ES,GLOBEX,0.3,6,2.9202926112115386,0.9308879265465745,0.9174240776835184,1.0,0.013463848863056072,0.014675709075623988,1.3678236878797532,False
ES,GLOBEX,0.3,10,2.9202926112115386,1.2188713196582275,1.11195818277626,1.0,0.10691313688196757,0.09614852297325993,1.3678236878797532,False
ES,GLOBEX,0.3,12,2.9202926112115386,1.3097750485384636,1.2017392204444188,1.0,0.10803582809404477,0.08989956078332173,1.3678236878797532,False
ES,GLOBEX,0.3,23,2.9202926112115386,1.7300937240247756,1.5389756758647803,1.0,0.19111804815999522,0.12418522992743353,1.3678236878797532,False
ES,GLOBEX,0.3,46,2.9202926112115386,2.2051309409972943,1.9310404331398572,1.0,0.27409050785743716,0.14193928990485616,1.3678236878797532,False
ES,GLOBEX,0.3,138,2.9202926112115386,2.8298128465156513,2.5830500178398483,1.0,0.24676282867580301,0.09553157196784201,1.3678236878797532,False
ES,GLOBEX,0.3,276,2.9202926112115386,3.0435091496385973,3.0435090492344745,1.0,1.0040412279366251e-07,3.298959239117494e-08,1.3678236878797532,True
ES,GLOBEX,0.3,345,2.9202926112115386,3.130709178346004,3.1225930177913095,1.0,0.008116160554694662,0.0025991733499857173,1.3678236878797532,False
ES,GLOBEX,0.3,1379,2.9202926112115386,3.4444708792756558,4.343470450944951,1.0,-0.8989995716692949,-0.2069772505241083,1.3678236878797532,False
ES,GLOBEX,0.45,5,3.602184229880572,0.9197038194154439,0.847129137080731,1.0,0.07257468233471287,0.08567133292665452,1.4773766029449533,False
ES,GLOBEX,0.45,6,3.602184229880572,1.0115668935280147,0.9174240776835184,1.0,0.09414281584449624,0.10261646509453448,1.4773766029449533,False
ES,GLOBEX,0.45,10,3.602184229880572,1.3107590451458202,1.11195818277626,1.0,0.1988008623695603,0.17878447719428459,1.4773766029449533,False
ES,GLOBEX,0.45,12,3.602184229880572,1.3945545702286506,1.2017392204444188,1.0,0.19281534978423176,0.16044691435877922,1.4773766029449533,False
ES,GLOBEX,0.45,23,3.602184229880572,1.7620544827848363,1.5389756758647803,1.0,0.223078806920056,0.14495278282725543,1.4773766029449533,False
ES,GLOBEX,0.45,46,3.602184229880572,2.1925889417471893,1.9310404331398572,1.0,0.26154850860733214,0.1354443460213084,1.4773766029449533,False
ES,GLOBEX,0.45,138,3.602184229880572,2.8164196939301305,2.5830500178398483,1.0,0.23336967609028214,0.0903465571624682,1.4773766029449533,False
ES,GLOBEX,0.45,276,3.602184229880572,3.043509115337198,3.0435090492344745,1.0,6.61027232951028e-08,2.1719246401374903e-08,1.4773766029449533,True
ES,GLOBEX,0.45,345,3.602184229880572,3.096078743901877,3.1225930177913095,1.0,-0.026514273889432616,-0.008491107787138685,1.4773766029449533,False
ES,GLOBEX,0.45,1379,3.602184229880572,3.221509219228521,4.343470450944951,1.0,-1.1219612317164298,-0.258309857149446,1.4773766029449533,False
ES,GLOBEX,0.5,5,3.980572263628244,0.9166062470710895,0.847129137080731,1.0,0.0694771099903585,0.08201478021377206,1.4794682644798482,False
ES,GLOBEX,0.5,6,3.980572263628244,1.0197038307900066,0.9174240776835184,1.0,0.10227975310648818,0.1114857954946451,1.4794682644798482,False
ES,GLOBEX,0.5,10,3.980572263628244,1.2859409387858054,1.11195818277626,1.0,0.1739827560095455,0.15646519689720484,1.4794682644798482,False
ES,GLOBEX,0.5,12,3.980572263628244,1.3787073478942227,1.2017392204444188,1.0,0.17696812744980384,0.14726000819408958,1.4794682644798482,False
ES,GLOBEX,0.5,23,3.980572263628244,1.8100707427715816,1.5389756758647803,1.0,0.2710950669068013,0.17615292506456792,1.4794682644798482,False
ES,GLOBEX,0.5,46,3.980572263628244,2.1988023805201635,1.9310404331398572,1.0,0.26776194738030634,0.13866200975653697,1.4794682644798482,False
ES,GLOBEX,0.5,138,3.980572263628244,2.6815067151477785,2.5830500178398483,1.0,0.09845669730793016,0.03811645017631804,1.4794682644798482,False
ES,GLOBEX,0.5,276,3.980572263628244,3.0435090418491306,3.0435090492344745,1.0,-7.385343891996854e-09,-2.4265884857044284e-09,1.4794682644798482,True
ES,GLOBEX,0.5,345,3.980572263628244,3.0938796705839575,3.1225930177913095,1.0,-0.02871334720735197,-0.00919535368322244,1.4794682644798482,False
ES,GLOBEX,0.5,1379,3.980572263628244,3.2388539890205768,4.343470450944951,1.0,-1.104616461924374,-0.2543165596266592,1.4794682644798482,False
NQ,GLOBEX,0.05,5,2.5903979854285715,0.772455393675148,0.8624008734817927,1.0,-0.08994547980664469,-0.10429660100355131,1.7166599193644658,False
NQ,GLOBEX,0.05,6,2.5903979854285715,0.8454152109792662,0.938664361063099,1.0,-0.09324915008383283,-0.09934237833235948,1.7166599193644658,False
NQ,GLOBEX,0.05,10,2.5903979854285715,1.049018140899082,1.1590570205149535,1.0,-0.11003887961587155,-0.0949382797120566,1.7166599193644658,False
NQ,GLOBEX,0.05,12,2.5903979854285715,1.1218119997054519,1.2895252654029532,1.0,-0.16771326569750133,-0.13005814635597235,1.7166599193644658,False
NQ,GLOBEX,0.05,23,2.5903979854285715,1.4377764083237974,1.6554942825174754,1.0,-0.21771787419367805,-0.13151230813228731,1.7166599193644658,False
NQ,GLOBEX,0.05,46,2.5903979854285715,1.7865623498316712,2.202413823965541,1.0,-0.4158514741338699,-0.1888162295426894,1.7166599193644658,False
NQ,GLOBEX,0.05,138,2.5903979854285715,2.645298525980587,3.0305424483172274,1.0,-0.3852439223366404,-0.12712045084554258,1.7166599193644658,False
NQ,GLOBEX,0.05,276,2.5903979854285715,3.606698158178144,3.606698088553108,1.0,6.96250359588646e-08,1.9304370546535665e-08,1.7166599193644658,True
NQ,GLOBEX,0.05,345,2.5903979854285715,4.024549639982684,3.7415162701222937,1.0,0.2830333698603904,0.07564670294782361,1.7166599193644658,False
NQ,GLOBEX,0.05,1379,2.5903979854285715,10.113183819773555,5.519786828741501,1.0,4.593396991032054,0.8321692727542049,1.7166599193644658,False
NQ,GLOBEX,0.1,5,2.5517459287941455,0.8160449781853194,0.8624008734817927,1.0,-0.046355895296473326,-0.05375214325713695,1.5518894316076126,False
