root,geom,q,lag,S_naive,nugget,S_corrected,nugget_share
NQ,GLOBEX,1.0,8,0.8667685339625243,0.13868386397758925,0.728084669984935,0.16000103665921195
NQ,GLOBEX,1.0,9,0.8778628309394045,0.13868386397758925,0.7391789669618153,0.15797896788634175
NQ,GLOBEX,1.0,10,0.9233046165822656,0.13868386397758925,0.7846207526046763,0.15020380217630228
NQ,GLOBEX,1.0,11,0.9571236670707308,0.13868386397758925,0.8184398030931416,0.1448964943078151
NQ,GLOBEX,1.0,12,0.9732893352952452,0.13868386397758925,0.834605471317656,0.14248986293014276
NQ,GLOBEX,1.0,13,0.9955782825695688,0.13868386397758925,0.8568944185919796,0.1392998083683071
NQ,GLOBEX,1.0,14,1.0124458543054993,0.13868386397758925,0.87376199032791,0.13697904276838715
NQ,GLOBEX,1.0,15,0.9971244318301851,0.13868386397758925,0.8584405678525958,0.13908380895154693
NQ,GLOBEX,1.0,16,1.0176137252411035,0.13868386397758925,0.8789298612635142,0.13628340551787552
NQ,GLOBEX,1.0,17,1.0659544779881995,0.13868386397758925,0.9272706140106103,0.13010298923771163
NQ,GLOBEX,1.0,18,1.072181475723047,0.13868386397758925,0.9334976117454578,0.12934737926157977
NQ,GLOBEX,1.0,19,1.0850652744794067,0.13868386397758925,0.9463814105018175,0.12781154022657953
NQ,GLOBEX,1.0,20,1.0853208604296252,0.13868386397758925,0.9466369964520359,0.12778144144644113
NQ,GLOBEX,1.0,21,1.1554106307331613,0.13868386397758925,1.0167267667555722,0.1200299359281366
