root,geom,kappa,seed_index,seed,b,c,A,rmse,cond,corr_cb,corr_Ab,first_share
NQ,GLOBEX,1280.0,2,1351980305,-1.1923501642086942,1.207068638431258,3.4410408681656612,0.010530848165741208,106.05278562343075,-0.6239002180378828,-0.9799502713672686,0.33266651832734156
NQ,GLOBEX,1280.0,3,2712040403,-0.9048617672509233,1.2674204270120506,2.09209038208865,0.0059942560835613765,55.566995558654554,-0.7153511521912566,-0.9685286206926147,0.3327960252785555
NQ,GLOBEX,1280.0,4,4134069845,-0.8841025502142136,1.2195267162175567,1.8214664626279464,0.006399617648405434,52.88466202346891,-0.7238429734774985,-0.9673595011995682,0.3336715028816798
NQ,GLOBEX,2000.0,0,235827970,-1.1629462214784407,1.402121047996251,2.640364624284111,0.00851005703409111,98.3700542367315,-0.6311504877617126,-0.9790706600445497,0.3973673380330028
NQ,GLOBEX,2000.0,1,2590048707,-1.1990684074724534,1.3789802788335543,2.9745769097062285,0.011470698990149538,106.86909752421519,-0.6223003464985947,-0.9801448328915305,0.3955321139928243
NQ,GLOBEX,2000.0,2,224827219,-1.1050081368363691,1.4436065913420901,2.5318276167411176,0.005217752138091966,86.43712174944895,-0.6467220931776576,-0.9771866622668582,0.40232998007335796
NQ,GLOBEX,2000.0,3,757418891,-1.3196241112003082,1.3605441807603624,3.4828897929116853,0.01096615522218375,140.20425879452156,-0.5969997159924341,-0.9832613360609813,0.41055266232138754
NQ,GLOBEX,2000.0,4,3349471557,-1.2078849588168556,1.3822086011785788,2.762677490469996,0.002919643573540997,108.80920191517285,-0.6202383058891676,-0.9803959217920855,0.4011288659163264
ES,RTH,1.0,0,2231074426,-1.290893594939449,1.034736460292498,4.063910455607934,0.00921083237561652,130.33280515178822,-0.6636658698750213,-0.9828128247475834,0.010591979549606828
ES,RTH,1.0,1,3284935968,-1.2399760983547172,1.0240763127389032,3.2723708939460447,0.020191190397179336,115.21434117435132,-0.6742683327200532,-0.9815079379454531,0.010002028259693848
ES,RTH,1.0,2,712809746,-1.262391643003625,1.0280918121922629,3.8225418449595394,0.003432059255798316,122.18638292859379,-0.6694752816734743,-0.9820966172373489,0.010084878098743292
ES,RTH,1.0,3,3554993742,-1.0349909330152545,1.0475530819701928,2.3475586009857388,0.005409019213308529,73.63413770424728,-0.7283377719168589,-0.9748357686813638,0.0102839745152685
ES,RTH,1.0,4,1188699603,-1.1763083762803679,1.0744514240755723,3.148639413703817,0.006802827500269427,100.58532761109409,-0.6890101410971939,-0.9797043296858177,0.01078058658329224
ES,RTH,3.0,0,1030258605,-0.9663494991341189,1.0085986425145181,2.106923605349604,0.008931073221321705,63.600747425384405,-0.7509224768275787,-0.9718943360406953,0.015270205592644028
ES,RTH,3.0,1,158895481,-1.1701028241006344,0.9843078494687456,3.217053463685738,0.00572194827839152,99.4863622722636,-0.6905404102384266,-0.9795172882600203,0.01601737827708061
ES,RTH,3.0,2,4256089431,-1.0898636096593628,1.0090724796690693,2.9297578060187726,0.008202143967202043,83.78224849188662,-0.7119352459006775,-0.9768896093970628,0.015540643050734314
ES,RTH,3.0,3,3568839219,-1.1025494630080266,1.041178480075185,2.9591326144069923,0.010861471763655865,86.03475118625052,-0.7083545228579176,-0.9773321743932901,0.014243188124144802
ES,RTH,3.0,4,969573316,-1.1677044250789184,0.9652390888103656,2.9828371009244092,0.009877369735117908,98.41400098474274,-0.69113944432831,-0.9794440512018326,0.01562796047855275
ES,RTH,6.0,0,1193534868,-1.2319410859572997,1.0279553487019717,3.256931179938278,0.005518467062348793,113.24576218469396,-0.6760327721705482,-0.9812916199083578,0.022949931602738057
ES,RTH,6.0,1,1478446301,-1.0594764393033782,1.1043365257060171,2.46632677993627,0.011465316635508465,77.66837094036131,-0.7208346216326919,-0.9757815588109049,0.02108843069504144
ES,RTH,6.0,2,760616967,-0.9727091080124151,1.0789885287217995,2.237025783567999,0.02199775839754491,64.6583880145464,-0.7487249994914745,-0.9721883463110125,0.02098038337532411
ES,RTH,6.0,3,3676940684,-1.2417170529477901,1.0299904367133295,3.6630685742995737,0.006911521355099965,116.62875673765271,-0.6738836269368744,-0.9815551310671389,0.022148272687648043
ES,RTH,6.0,4,882576353,-1.4264447515572267,1.0055266794373714,4.200674562891812,0.010193440303888898,173.89334230611274,-0.6398937015717385,-0.9857881008137961,0.02327169621679017
ES,RTH,10.0,0,2747472363,-1.1773393017577414,1.0745475081124587,3.429009834634188,0.006840375526215542,101.58952429418524,-0.6887567504854828,-0.9797352894606748,0.030396684492469826
ES,RTH,10.0,1,3154135372,-1.0599269948483678,0.977210847163997,2.8655497926037943,0.005931198163834126,78.73966171226947,-0.7207025223165462,-0.9757981103165786,0.03290660586724234
ES,RTH,10.0,2,4158329517,-1.1778683455180035,1.073796153823681,3.1211593406113805,0.014490675411876215,100.84260449585135,-0.688625652746971,-0.9797513177305041,0.03179467534643849
ES,RTH,10.0,3,1413306690,-1.1061264694824944,1.0872636773688853,2.9072212623925107,0.008460716841567037,86.51613018947573,-0.7073538900807849,-0.9774555712866795,0.031330824464135376
ES,RTH,10.0,4,2851911787,-1.2074945922364495,0.9787227000776613,3.6647194143063566,0.011015759600617693,108.75698672262975,-0.6815704420033701,-0.9806137526279954,0.029821206842617708
ES,RTH,20.0,0,2817808412,-1.2358375339810017,1.0585670146697228,3.0544286997865973,0.003630872614790272,113.78553337079013,-0.6751729660941543,-0.9813970065909917,0.05228537472092534
ES,RTH,20.0,1,1323704700,-1.00535901877713,1.041036277700335,2.2616062823962797,0.011646535690605175,69.14009953453395,-0.737806697637466,-0.973622405848618,0.055485726524032705
ES,RTH,20.0,2,1345072201,-1.0258188705319164,1.0288884046766893,2.3529083206249712,0.004008351154938857,72.26729676667016,-0.7312235325104763,-0.9744685534152593,0.049671205102761205
ES,RTH,20.0,3,2526033775,-1.122594757257171,1.0000305101246312,2.7297201963620705,0.005462552303771031,89.07405980679253,-0.702843483723405,-0.9780105413867496,0.05119911518043194
ES,RTH,20.0,4,2148495371,-1.293428451684361,0.9986052939204338,3.8820527564161447,0.007358881737612663,130.48381769851326,-0.6631644387875564,-0.9828747994344166,0.053171095196769914
ES,RTH,40.0,0,2756584207,-1.0559151699358664,0.9685548665908154,2.7814385524118337,0.009627832366950868,77.86338161800748,-0.7219109145091286,-0.9756466095862265,0.08661907816285436
