root,geom,btag,M,variant,median,ref_2overM,med_over_ref,trigamma,median_over_trigamma,p95,share_gt10x_med
ES,RTH,B0,195,TRQ10_TRV10,0.0150211567933482,0.0102564102564102,1.4645627873514546,0.01030918704702152,1.4570651133629435,0.0354056870672198,0.0
ES,RTH,B0,195,MEDRQ_MEDRV,0.0132493317535531,0.0102564102564102,1.291809845971431,0.01030918704702152,1.2851965623594959,0.0263234798168429,0.0
ES,RTH,B0,390,RQ_RV,0.0080168047858838,0.0051282051282051,1.5632769332473453,0.005141376849345412,1.5592719656222982,0.0211391383536458,0.0010520778537611
ES,RTH,B0,390,TQ_BV,0.0070298624444618,0.0051282051282051,1.3708231766700532,0.005141376849345412,1.3673112573642263,0.0135875474499468,0.0
ES,RTH,B0,390,TRQ3_TRV3,0.0056311825686058,0.0051282051282051,1.0980806008781483,0.005141376849345412,1.0952674222514438,0.0069751639628536,0.0
ES,RTH,B0,390,TRQ5_TRV5,0.0073562318610832,0.0051282051282051,1.434465212911243,0.005141376849345412,1.4307902487287578,0.0105592767687732,0.0
ES,RTH,B0,390,TRQ10_TRV10,0.0080116977453576,0.0051282051282051,1.5622810603447428,0.005141376849345412,1.5582786440518615,0.0190081760833476,0.0
ES,RTH,B0,390,MEDRQ_MEDRV,0.0069886883038743,0.0051282051282051,1.3627942192554936,0.005141376849345412,1.3593028693790619,0.0139157192462163,0.0010520778537611
ES,RTH,B1,13,RQ_RV,0.1397186625687348,0.1538461538461538,0.9081713066967768,0.16628453574995827,0.8402384619747773,0.285234703014149,0.0
ES,RTH,B1,13,TQ_BV,0.1220372459236393,0.1538461538461538,0.793242098503656,0.16628453574995827,0.73390616495539,0.2141788890769549,0.0
ES,RTH,B1,13,TRQ3_TRV3,0.1335706673160826,0.1538461538461538,0.8682093375545369,0.16628453574995827,0.803265719891912,0.2174162997569908,0.0
ES,RTH,B1,13,TRQ5_TRV5,0.1395498316228826,0.1538461538461538,0.9070739055487368,0.16628453574995827,0.8392231484034294,0.2690672952843869,0.0
ES,RTH,B1,13,TRQ10_TRV10,0.1397186625687348,0.1538461538461538,0.9081713066967768,0.16628453574995827,0.8402384619747773,0.285234703014149,0.0
ES,RTH,B1,13,MEDRQ_MEDRV,0.1275962459318691,0.1538461538461538,0.8293755985571494,0.16628453574995827,0.7673368143128795,0.2471376329712253,0.0
ES,RTH,B1,26,RQ_RV,0.0802326492041789,0.0769230769230769,1.0430244396543256,0.07995742842732394,1.00344209140124,0.1625396368922501,0.0
ES,RTH,B1,26,TQ_BV,0.0716054322023741,0.0769230769230769,0.9308706186308634,0.07995742842732394,0.8955444617313918,0.1299423337442502,0.0
ES,RTH,B1,26,TRQ3_TRV3,0.0746319996053249,0.0769230769230769,0.970215994869224,0.07995742842732394,0.9333966971331563,0.1160588235289871,0.0
ES,RTH,B1,26,TRQ5_TRV5,0.0798086265421827,0.0769230769230769,1.037512145048376,0.07995742842732394,0.998138986107132,0.1558746596739357,0.0
ES,RTH,B1,26,TRQ10_TRV10,0.0802326492041789,0.0769230769230769,1.0430244396543256,0.07995742842732394,1.00344209140124,0.1625396368922501,0.0
ES,RTH,B1,26,MEDRQ_MEDRV,0.0745315999516991,0.0769230769230769,0.9689107993720886,0.07995742842732394,0.9321410332680151,0.147652402780534,0.0
ES,RTH,B1,78,RQ_RV,0.0331323629843206,0.0256410256410256,1.2921621563885046,0.025972566037214765,1.2756676770730675,0.0713392975795505,0.0
ES,RTH,B1,78,TQ_BV,0.028731989670884,0.0256410256410256,1.120547597164477,0.025972566037214765,1.1062437816007629,0.0538514040580209,0.0
ES,RTH,B1,78,TRQ3_TRV3,0.0274684809312419,0.0256410256410256,1.0712707563184347,0.025972566037214765,1.0575959607488807,0.0366096128207177,0.0
ES,RTH,B1,78,TRQ5_TRV5,0.0327209659878336,0.0256410256410256,1.2761176735255133,0.025972566037214765,1.2598280023987385,0.05778138660809,0.0
