root,geom,btag,horizon,M,variant,n,n_Q_zero,n_Q_lt_1e14,n_P_zero,n_P_lt_1e14,min_Q,min_P
NQ,GLOBEX,B1,1day,5,TRQ10_TRV10,1948,0,0,0,0,4.0628519360123944e-13,7.125008778530173e-07
NQ,GLOBEX,B1,1day,5,MEDRQ_MEDRV,1948,0,1,0,0,8.363449802896329e-15,1.3508395924688406e-07
NQ,GLOBEX,B1,1day,6,RQ_RV,1948,0,0,0,0,2.0541816722812833e-13,5.318524927133694e-07
NQ,GLOBEX,B1,1day,6,TQ_BV,1948,2,2,0,0,0.0,1.9308289982065125e-07
NQ,GLOBEX,B1,1day,6,TRQ3_TRV3,1948,0,0,0,0,1.3961945459466261e-14,8.862389222485945e-08
NQ,GLOBEX,B1,1day,6,TRQ5_TRV5,1948,0,0,0,0,4.057785844431507e-14,2.467540980433114e-07
NQ,GLOBEX,B1,1day,6,TRQ10_TRV10,1948,0,0,0,0,2.0541816722812833e-13,5.318524927133694e-07
NQ,GLOBEX,B1,1day,6,MEDRQ_MEDRV,1948,0,0,0,0,8.890171267302131e-14,4.1128812078946963e-07
NQ,GLOBEX,B1,1day,10,RQ_RV,1948,0,0,0,0,5.026022776288747e-12,1.8324153643334284e-06
NQ,GLOBEX,B1,1day,10,TQ_BV,1948,0,0,0,0,6.089034896466156e-13,1.1216498958235327e-06
NQ,GLOBEX,B1,1day,10,TRQ3_TRV3,1948,0,0,0,0,2.355570563191739e-13,5.883748599444516e-07
NQ,GLOBEX,B1,1day,10,TRQ5_TRV5,1948,0,0,0,0,2.355570563191739e-13,5.883748599444516e-07
NQ,GLOBEX,B1,1day,10,TRQ10_TRV10,1948,0,0,0,0,5.026022776288747e-12,1.8324153643334284e-06
NQ,GLOBEX,B1,1day,10,MEDRQ_MEDRV,1948,0,0,0,0,2.0812198220781086e-13,5.833813972022691e-07
NQ,GLOBEX,B1,1day,12,RQ_RV,1948,0,0,0,0,3.21118673341719e-12,2.1155865397304296e-06
NQ,GLOBEX,B1,1day,12,TQ_BV,1948,0,0,0,0,1.4865311277841698e-12,1.105330197283564e-06
NQ,GLOBEX,B1,1day,12,TRQ3_TRV3,1948,0,0,0,0,2.107067631428372e-12,9.004897947306745e-07
NQ,GLOBEX,B1,1day,12,TRQ5_TRV5,1948,0,0,0,0,3.21118673341719e-12,1.973144208022859e-06
NQ,GLOBEX,B1,1day,12,TRQ10_TRV10,1948,0,0,0,0,3.21118673341719e-12,2.1155865397304296e-06
NQ,GLOBEX,B1,1day,12,MEDRQ_MEDRV,1948,0,0,0,0,2.4334286682760574e-13,4.074541511883174e-07
NQ,GLOBEX,B1,1day,23,RQ_RV,1948,0,0,0,0,4.386447832798439e-12,2.4478358682245016e-06
NQ,GLOBEX,B1,1day,23,TQ_BV,1948,0,0,0,0,2.154423237335907e-12,2.554716414193042e-06
NQ,GLOBEX,B1,1day,23,TRQ3_TRV3,1948,0,0,0,0,4.386447832798439e-12,2.355728611291852e-06
NQ,GLOBEX,B1,1day,23,TRQ5_TRV5,1948,0,0,0,0,4.386447832798439e-12,2.355728611291852e-06
NQ,GLOBEX,B1,1day,23,TRQ10_TRV10,1948,0,0,0,0,4.386447832798439e-12,2.4478358682245016e-06
NQ,GLOBEX,B1,1day,23,MEDRQ_MEDRV,1948,0,0,0,0,8.614162289203862e-12,2.6819868302522695e-06
