cell,model,rank,window_index,trade_date,coef,regressors,components,linear_fit,fit_negative_by_construction,forecast_stored,realized,coef_fit_at_step
ES/GLOBEX/B1/1day,M4_HARQ,1,513,2018-02-06,"[4.425308145068478e-06, 1.0707525230177903, -0.054218498996147675, 0.0427343282210719, -447.1146390144308]","[1.0, 0.0006531322071623435, 0.0001975342303467187, 6.736811312955318e-05, 1.6387810031581727e-06]","[4.425308145068478e-06, 0.0006993429586832575, -1.0710009469758371e-05, 2.8789310581126286e-06, -0.0007327229766507732]",-3.6785788234092907e-05,True,1e-300,0.001818701705587955,513
ES/GLOBEX/B1/1day,M4_HARQ,2,1018,2020-03-04,"[5.758202349226503e-06, 0.8477597957590224, 0.3261621560403112, -0.14557614280024916, -140.5171159991085]","[1.0, 0.002004764752200572, 0.0013129557399224722, 0.0003600445408499747, 2.120907267907826e-05]","[5.758202349226503e-06, 0.0016995589568704439, 0.00042823647491861563, -5.2413895493226055e-05, -0.0029802377258795632]",-0.0008990979872345033,True,1e-300,0.0005939990769547876,1018
ES/GLOBEX/B1/1day,M4_HARQ,3,1249,2021-02-16,"[-6.807398031633931e-06, 1.0340116518081657, 0.29461954832124193, -0.1500687138425766, -64.14676155023224]","[1.0, 8.742832505959086e-06, 3.645582346507581e-05, 9.116604405789985e-05, 1.0045403212056217e-10]","[-6.807398031633931e-06, 9.04019068096888e-06, 1.0740598242959568e-05, -1.3681170977884704e-05, -6.443800845197072e-09]",-7.142238864353854e-07,True,1e-300,4.9089921049016993e-05,1249
ES/GLOBEX/B1/1h,M3_HARJ,1,2243,2016-05-30,"[3.779436103538773e-09, 0.5837100815721512, 0.3100128867432414, 0.03666340855345335, 0.37074925372459194]","[1.0, 0.0, 1.3446805475971566e-06, 2.595642560347999e-06, 0.0]","[3.779436103538773e-09, 0.0, 4.168682983080771e-07, 9.516510364877036e-08, 0.0]",5.158128380603862e-07,False,5.158128380603862e-07,0.0,2222
ES/GLOBEX/B1/1h,M3_HARJ,2,2242,2016-05-30,"[3.779436103538773e-09, 0.5837100815721512, 0.3100128867432414, 0.03666340855345335, 0.37074925372459194]","[1.0, 0.0, 1.3657634057877161e-06, 2.6026490914315097e-06, 0.0]","[3.779436103538773e-09, 0.0, 4.2340425603653086e-07, 9.54219869604276e-08, 0.0]",5.226056791004972e-07,False,5.226056791004972e-07,0.0,2222
ES/GLOBEX/B1/1h,M3_HARJ,3,6159,2017-02-20,"[-1.4449525121951763e-08, 0.6016569600198837, 0.15489360085302897, 0.045483835740861976, 1.7675029113381149]","[1.0, 0.0, 9.792646179365956e-07, 1.1195739248739473e-06, 0.0]","[-1.4449525121951763e-08, 0.0, 1.5168182286016496e-07, 5.092251649871877e-08, 0.0]",1.8815481423693197e-07,False,1.8815481423693197e-07,0.0,6138
ES/GLOBEX/B1/1h,M4_HARQ,1,5609,2017-01-16,"[1.90679027535489e-07, 0.7864206319068916, 0.10803744773993776, 0.05126490449435203, -674.3634038858299]","[1.0, 0.0, 1.307137796919216e-06, 1.2996415835531036e-06, 0.0]","[1.90679027535489e-07, 0.0, 1.4121983142355717e-07, 6.66260016577383e-08, -0.0]",3.9852486061678446e-07,False,3.9852486061678446e-07,0.0,5588
ES/GLOBEX/B1/1h,M4_HARQ,2,5608,2017-01-16,"[1.90679027535489e-07, 0.7864206319068916, 0.10803744773993776, 0.05126490449435203, -674.3634038858299]","[1.0, 0.0, 1.3218630142959725e-06, 1.3036829533263722e-06, 0.0]","[1.90679027535489e-07, 0.0, 1.4281070632635773e-07, 6.683318209319127e-08, -0.0]",4.0032291595503797e-07,False,4.0032291595503797e-07,0.0,5588
ES/GLOBEX/B1/1h,M4_HARQ,3,4927,2016-11-24,"[2.2968433664746805e-07, 0.7891092838499659, 0.09960937880366931, 0.053565336369813844, -683.83897645864]","[1.0, 0.0, 1.0009510106101515e-06, 4.732258077190876e-06, 0.0]","[2.2968433664746805e-07, 0.0, 9.97041083797822e-08, 2.534849956934978e-07, -0.0]",5.82873440720748e-07,False,5.82873440720748e-07,0.0,4906
ES/GLOBEX/B1/30min,M3_HARJ,1,75959,2022-11-24,"[2.4937871097413136e-07, 0.5034084286017619, 0.5282834930786854, -0.08322392997571218, -0.31273689622764217]","[1.0, 0.0, 1.5598913927937652e-06, 4.47178536070178e-06, 0.0]","[2.4937871097413136e-07, 0.0, 8.24064873808466e-07, -3.7215955172545977e-07, -0.0]",7.012840330571376e-07,False,7.012840330571376e-07,0.0,75915
