root,geom,btag,horizon,proxy,trimmed,estimator,n_grid,n_valid,product_min,product_max,ratio_max_min,cv,elasticity,elasticity_r2,n_used,n_dropped,elasticity_s05grid,elasticity_s05grid_r2,n_used_s05grid
ES,RTH,B0,1h,RV,True,E1_a_exp_L1-10,8,8,1.1734698182788106,1.754974334566116,1.4955427972917348,0.12443421936376915,-1.3603628154465233,0.4322185895864653,8,0,,,0
ES,RTH,B0,1h,RV,True,E1_a_exp_L1-5,8,8,1.2050313119854021,1.8087345746932957,1.5009855401294392,0.12429582678505487,-1.405654771887576,0.44261955543295006,8,0,,,0
ES,RTH,B0,1h,RV,True,E1_d_model_L1-10,8,8,1.4114790921040883,2.210647657463914,1.5661922800206038,0.1421816917684576,-1.8240096371925243,0.5389402662681252,8,0,,,0
ES,RTH,B0,1h,RV,True,E1_d_model_L1-5,8,8,1.4294674852576288,2.1991720925372937,1.5384554844498217,0.13493396791517598,-1.8776050333255503,0.5409329451764762,8,0,,,0
ES,RTH,B0,1h,RV,True,E2,8,4,1.3902425763476978,1.5697820099737607,1.129142522809027,0.0431293077324053,-0.5686555535953455,0.9824595704493341,4,4,,,0
ES,RTH,B0,1h,RV,True,E4,8,8,1.448676374024706,42.24864587180038,29.163619031368192,1.9998483395835116,0.25396426254449506,0.035501531556281885,8,0,,,0
ES,RTH,B0,1h,RV,True,E4_asS05,8,8,1.4615884081724302,42.5839858006407,29.135415663215134,1.9698912230474834,3.8136424682139896,0.8124849183130212,8,0,,,0
ES,RTH,B0,1h,TRV3,False,E1_a_exp_L1-10,9,9,1.1136994567623844,57.6319593571299,51.74821538000093,1.9274394505734416,-2.8241009665466548,0.6917568429499983,9,0,,,1
ES,RTH,B0,1h,TRV3,False,E1_a_exp_L1-5,9,9,1.1431471095458703,33.677892863842516,29.460681466641233,1.5008526598628704,-2.9104014187797698,0.7156821755902074,9,0,,,1
ES,RTH,B0,1h,TRV3,False,E1_d_model_L1-10,9,9,1.3395390894986503,64.07504668605178,47.833652028798326,1.895758361691569,-3.517769218345702,0.7549445014760462,9,0,,,1
ES,RTH,B0,1h,TRV3,False,E1_d_model_L1-5,9,9,1.3561309429459203,1033.8876463799581,762.3803967882676,2.725800398153623,-2.9974512662294814,0.6029732472497156,9,0,,,1
ES,RTH,B0,1h,TRV3,False,E2,9,9,1.2843952984176048,4.582633579888625,3.5679308274753896,0.5433254930026374,-3.9497779167760303,0.7699347366201927,9,0,,,1
ES,RTH,B0,1h,TRV3,False,E4,9,9,1.362609131522378,2806.030772741034,2059.3071834224315,1.6491425555243013,2.4540905671483766,0.6163454306889125,9,0,,,1
ES,RTH,B0,1h,TRV3,False,E4_asS05,9,9,1.362609131522378,2806.030772741034,2059.3071834224315,1.6491425555243013,2.4540905671483766,0.6163454306889125,9,0,,,1
ES,RTH,B0,30min,RV,False,E1_a_exp_L1-10,5,5,1.1812012113270205,1.4363800176073327,1.21603330900214,0.06806916769641218,-0.43895535601142366,0.9715405541087249,5,0,,,1
ES,RTH,B0,30min,RV,False,E1_a_exp_L1-5,5,5,1.3433574423807872,1.6239965239177288,1.2089087183226337,0.06814177023870531,-0.7610138959552538,0.9984156220560264,5,0,,,1
ES,RTH,B0,30min,RV,False,E1_d_model_L1-10,5,4,1.6456201381100974,1.83725543106013,1.1164517184203366,0.04383140488117327,-2.1844769417445224,0.960122080452168,4,1,,,0
ES,RTH,B0,30min,RV,False,E1_d_model_L1-5,5,2,1.92486892244839,1.9519533505336257,1.014070790883145,0.0069862444492207075,,,2,3,,,0
ES,RTH,B0,30min,RV,False,E2,5,3,1.1514362548338752,1.7069312730366961,1.482436622844541,0.16689098408560965,1.1683406002331311,0.6076503046646808,3,2,,,1
ES,RTH,B0,30min,RV,False,E4,5,5,1.3808670720964982,1.8527508136826454,1.3417300268227201,0.10498058919873103,-0.6089996839964602,0.9964631695320807,5,0,,,1
ES,RTH,B0,30min,RV,False,E4_asS05,5,5,1.45277323689115,2.147432205720313,1.478160631810435,0.1395017259976378,1.798400936782435,0.5799578484143603,5,0,,,1
ES,RTH,B0,30min,RV,True,E1_a_exp_L1-10,4,4,1.2461427062510748,1.729848212621351,1.3881622096280348,0.12962160276995724,-4.714027193531963,0.9048210487792343,4,0,,,0
ES,RTH,B0,30min,RV,True,E1_a_exp_L1-5,4,4,1.4019461385074692,1.952431344614549,1.3926578853401128,0.13281142139814725,-5.256599309184773,0.9111155829219668,4,0,,,0
ES,RTH,B0,30min,RV,True,E1_d_model_L1-10,4,4,1.570157570673263,2.28177492852979,1.4532139774681307,0.1496836383112623,-6.725877307696889,0.9415839028989462,4,0,,,0
ES,RTH,B0,30min,RV,True,E1_d_model_L1-5,4,2,2.1525804451319415,2.347382918041325,1.0904971859936425,0.04328979086887794,,,2,2,,,0
ES,RTH,B0,30min,RV,True,E2,4,2,1.1190637362050027,1.4377878790705065,1.2848132171152014,0.12465492364176961,,,2,2,,,0
ES,RTH,B0,30min,RV,True,E4,4,4,1.4814442841956923,62.1127509031062,41.927159573759155,1.1363871543491437,2.8521691257032344,0.8469177053338774,4,0,,,0
ES,RTH,B0,30min,RV,True,E4_asS05,4,4,1.6135114185033461,62.404166418071,38.675999253823434,1.1278245401452742,2.9825789688840674,0.9812896381240439,4,0,,,0
