root,geom,btag,horizon,model,window_index,session_date,window_in_session,window_start_min_from_1800NY,ny_clock,overnight,rv,forecast
ES,GLOBEX,B0,1h,M1_EWMA,34715,2022-06-20,21,1260,15:00,False,0.0,7.216201993393264e-06
ES,GLOBEX,B0,1h,M1_EWMA,34933,2022-07-04,19,1140,13:00,False,0.0,6.433441999110882e-06
ES,GLOBEX,B0,1h,M1_EWMA,34934,2022-07-04,20,1200,14:00,False,0.0,6.047435479164229e-06
ES,GLOBEX,B0,1h,M1_EWMA,34935,2022-07-04,21,1260,15:00,False,0.0,5.684589350414375e-06
ES,GLOBEX,B0,1h,M1_EWMA,35923,2022-09-05,19,1140,13:00,False,0.0,8.121782795286828e-06
ES,GLOBEX,B0,1h,M1_EWMA,35924,2022-09-05,20,1200,14:00,False,0.0,7.634475827569619e-06
ES,GLOBEX,B0,1h,M1_EWMA,35925,2022-09-05,21,1260,15:00,False,0.0,7.1764072779154415e-06
ES,GLOBEX,B0,1h,M1_EWMA,37133,2022-11-24,19,1140,13:00,False,0.0,1.6337241479002147e-06
ES,GLOBEX,B0,1h,M1_EWMA,37134,2022-11-24,20,1200,14:00,False,0.0,1.5357006990262018e-06
ES,GLOBEX,B0,1h,M1_EWMA,37135,2022-11-24,21,1260,15:00,False,0.0,1.4435586570846295e-06
ES,GLOBEX,B0,1h,M1_EWMA,37815,2023-01-16,19,1140,13:00,False,0.0,2.8464492366870774e-06
ES,GLOBEX,B0,1h,M1_EWMA,37816,2023-01-16,20,1200,14:00,False,0.0,2.6756622824858524e-06
ES,GLOBEX,B0,1h,M1_EWMA,37817,2023-01-16,21,1260,15:00,False,0.0,2.515122545536701e-06
ES,GLOBEX,B0,1h,M1_EWMA,38365,2023-02-20,19,1140,13:00,False,0.0,2.1496487202059305e-06
ES,GLOBEX,B0,1h,M1_EWMA,38366,2023-02-20,20,1200,14:00,False,0.0,2.0206697969935744e-06
ES,GLOBEX,B0,1h,M1_EWMA,38367,2023-02-20,21,1260,15:00,False,0.0,1.89942960917396e-06
ES,GLOBEX,B0,1h,M1_EWMA,39044,2023-04-07,16,960,10:00,False,0.0,1.7497913447153847e-06
ES,GLOBEX,B0,1h,M1_EWMA,39045,2023-04-07,17,1020,11:00,False,0.0,1.6448038640324614e-06
ES,GLOBEX,B0,1h,M1_EWMA,39046,2023-04-07,18,1080,12:00,False,0.0,1.5461156321905137e-06
ES,GLOBEX,B0,1h,M1_EWMA,39047,2023-04-07,19,1140,13:00,False,0.0,1.4533486942590828e-06
ES,GLOBEX,B0,1h,M1_EWMA,39048,2023-04-07,20,1200,14:00,False,0.0,1.3661477726035377e-06
ES,GLOBEX,B0,1h,M1_EWMA,39049,2023-04-07,21,1260,15:00,False,0.0,1.2841789062473254e-06
ES,GLOBEX,B0,1h,M1_EWMA,39839,2023-05-29,19,1140,13:00,False,0.0,1.729031058154939e-06
ES,GLOBEX,B0,1h,M1_EWMA,39840,2023-05-29,20,1200,14:00,False,0.0,1.6252891946656424e-06
ES,GLOBEX,B0,1h,M1_EWMA,39841,2023-05-29,21,1260,15:00,False,0.0,1.5277718429857038e-06
ES,GLOBEX,B0,1h,M1_EWMA,40103,2023-06-19,19,1140,13:00,False,0.0,1.0637718203701355e-06
ES,GLOBEX,B0,1h,M1_EWMA,40104,2023-06-19,20,1200,14:00,False,0.0,9.999455111479273e-07
ES,GLOBEX,B0,1h,M1_EWMA,40105,2023-06-19,21,1260,15:00,False,0.0,9.399487804790516e-07
ES,GLOBEX,B0,1h,M1_EWMA,40323,2023-07-04,19,1140,13:00,False,0.0,6.314510410561844e-07
ES,GLOBEX,B0,1h,M1_EWMA,40324,2023-07-04,20,1200,14:00,False,0.0,5.935639785928133e-07
ES,GLOBEX,B0,1h,M1_EWMA,40325,2023-07-04,21,1260,15:00,False,0.0,5.579501398772445e-07
ES,GLOBEX,B0,1h,M1_EWMA,41291,2023-09-04,19,1140,13:00,False,0.0,1.0464484975472e-06
ES,GLOBEX,B0,1h,M1_EWMA,41292,2023-09-04,20,1200,14:00,False,0.0,9.836615876943679e-07
ES,GLOBEX,B0,1h,M1_EWMA,41293,2023-09-04,21,1260,15:00,False,0.0,9.246418924327058e-07
ES,GLOBEX,B0,1h,M1_EWMA,42501,2023-11-23,19,1140,13:00,False,0.0,3.8878498122446144e-07
ES,GLOBEX,B0,1h,M1_EWMA,42502,2023-11-23,20,1200,14:00,False,0.0,3.654578823509937e-07
ES,GLOBEX,B0,1h,M1_EWMA,42503,2023-11-23,21,1260,15:00,False,0.0,3.4353040940993404e-07
ES,GLOBEX,B0,1h,M2_HAR,679,2016-02-15,19,1140,13:00,False,0.0,7.220704983918602e-06
ES,GLOBEX,B0,1h,M2_HAR,680,2016-02-15,20,1200,14:00,False,0.0,6.516403354677068e-06
ES,GLOBEX,B0,1h,M2_HAR,681,2016-02-15,21,1260,15:00,False,0.0,6.582046336488241e-06
ES,GLOBEX,B0,1h,M2_HAR,2241,2016-05-30,19,1140,13:00,False,0.0,9.238867992792899e-07
ES,GLOBEX,B0,1h,M2_HAR,2242,2016-05-30,20,1200,14:00,False,0.0,6.022076944853037e-07
ES,GLOBEX,B0,1h,M2_HAR,2243,2016-05-30,21,1260,15:00,False,0.0,5.954853134551791e-07
ES,GLOBEX,B0,1h,M2_HAR,2725,2016-07-04,19,1140,13:00,False,0.0,1.690479231435484e-06
ES,GLOBEX,B0,1h,M2_HAR,2726,2016-07-04,20,1200,14:00,False,0.0,1.2653625561307735e-06
ES,GLOBEX,B0,1h,M2_HAR,2727,2016-07-04,21,1260,15:00,False,0.0,1.2420011565619025e-06
ES,GLOBEX,B0,1h,M2_HAR,4925,2016-11-24,19,1140,13:00,False,0.0,1.1988059965447299e-06
ES,GLOBEX,B0,1h,M2_HAR,4926,2016-11-24,20,1200,14:00,False,0.0,8.576957827984956e-07
ES,GLOBEX,B0,1h,M2_HAR,4927,2016-11-24,21,1260,15:00,False,0.0,8.546199456115888e-07
ES,GLOBEX,B0,1h,M2_HAR,5607,2017-01-16,19,1140,13:00,False,0.0,9.808160403384468e-07
ES,GLOBEX,B0,1h,M2_HAR,5608,2017-01-16,20,1200,14:00,False,0.0,5.767223961360893e-07
ES,GLOBEX,B0,1h,M2_HAR,5609,2017-01-16,21,1260,15:00,False,0.0,5.73972082588494e-07
ES,GLOBEX,B0,1h,M2_HAR,6157,2017-02-20,19,1140,13:00,False,0.0,9.175693773842267e-07
