root,geom,btag,horizon,arm,range,rule,seed_index,seed,lam_used,lam_in_unit,te,turnover,0.5t,1.0t,2.0t,4.0t
NQ,GLOBEX,B0,1day,A4p,extended,R0,1,10724713,,True,4.929255908942267e-17,0.004940118680811493,0.0012855599345809546,0.0025711198691619093,0.005142239738323819,0.010284479476647637
NQ,GLOBEX,B0,1day,A4p,extended,R1,1,10724713,,True,1.1816463269105857,78.36219726647604,20.39208118274656,40.78416236549312,81.56832473098623,163.13664946197247
NQ,GLOBEX,B0,1day,A4p,extended,R2,1,10724713,0.9933437324775314,True,1.1748920398622609,71.47570112358402,18.600018258158276,37.20003651631655,74.4000730326331,148.8001460652662
NQ,GLOBEX,B0,1day,A4p,extended,R3,1,10724713,0.9399469453085768,True,1.1210577923261402,34.17384602157018,8.89301049112706,17.78602098225412,35.57204196450824,71.14408392901647
NQ,GLOBEX,B0,1day,A2,restricted_S05,R0,2,3527105160,,True,0.0,0.004168974468388908,0.0010848861922425185,0.002169772384485037,0.004339544768970074,0.008679089537940148
NQ,GLOBEX,B0,1day,A2,restricted_S05,R1,2,3527105160,,True,0.5838916827874057,3.1528043449734425e-05,8.204497117070918e-06,1.6408994234141836e-05,3.281798846828367e-05,6.563597693656735e-05
NQ,GLOBEX,B0,1day,A2,restricted_S05,R2,2,3527105160,0.9926414064188587,True,0.5829332376092238,3.136268725007195e-05,8.161466712549194e-06,1.632293342509839e-05,3.264586685019678e-05,6.529173370039355e-05
NQ,GLOBEX,B0,1day,A2,restricted_S05,R3,2,3527105160,0.8496344690820835,True,0.5656342311325668,2.7977561486301064e-05,7.280560334262194e-06,1.4561120668524387e-05,2.9122241337048775e-05,5.824448267409755e-05
NQ,GLOBEX,B0,1day,A2,extended,R0,2,3527105160,,True,0.0,0.004168974468388908,0.0010848861922425185,0.002169772384485037,0.004339544768970074,0.008679089537940148
NQ,GLOBEX,B0,1day,A2,extended,R1,2,3527105160,,True,0.5838916827874057,3.1528043449734425e-05,8.204497117070918e-06,1.6408994234141836e-05,3.281798846828367e-05,6.563597693656735e-05
NQ,GLOBEX,B0,1day,A2,extended,R2,2,3527105160,0.9933437324775314,True,0.5830244348197883,3.137850582497003e-05,8.16558315740104e-06,1.633116631480208e-05,3.266233262960416e-05,6.532466525920832e-05
NQ,GLOBEX,B0,1day,A2,extended,R3,2,3527105160,0.9399469453085768,True,0.5762614172073377,3.0153678772997018e-05,7.846848186331731e-06,1.5693696372663462e-05,3.1387392745326925e-05,6.277478549065385e-05
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R0,2,3527105160,,True,4.0247205961691515e-17,0.004867215791055117,0.001266588521090424,0.002533177042180848,0.005066354084361696,0.010132708168723392
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R1,2,3527105160,,True,1.7606823798441267,200.2581236651203,52.11288169213529,104.22576338427058,208.45152676854116,416.9030535370823
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R2,2,3527105160,0.9926414064188587,True,1.7482544233739499,180.90363483913794,47.07629107628179,94.15258215256358,188.30516430512716,376.6103286102543
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R3,2,3527105160,0.8496344690820835,True,1.5086342835927482,25.09451857312456,6.53031024953175,13.0606204990635,26.121240998127,52.242481996254
NQ,GLOBEX,B0,1day,A4p,extended,R0,2,3527105160,,True,4.0247205961691515e-17,0.004867215791055117,0.001266588521090424,0.002533177042180848,0.005066354084361696,0.010132708168723392
NQ,GLOBEX,B0,1day,A4p,extended,R1,2,3527105160,,True,1.7606823798441267,200.2581236651203,52.11288169213529,104.22576338427058,208.45152676854116,416.9030535370823
NQ,GLOBEX,B0,1day,A4p,extended,R2,2,3527105160,0.9933437324775314,True,1.7494402276203675,182.66713511934557,47.535204201924515,95.07040840384903,190.14081680769806,380.2816336153961
NQ,GLOBEX,B0,1day,A4p,extended,R3,2,3527105160,0.9399469453085768,True,1.659513238093694,87.36616638117452,22.73517103421533,45.47034206843066,90.94068413686132,181.88136827372264
NQ,GLOBEX,B0,1day,A2,restricted_S05,R0,3,1168436609,,True,2.8459072259323713e-17,0.0043009902522472875,0.001119240468612404,0.002238480937224808,0.004476961874449616,0.008953923748899232
NQ,GLOBEX,B0,1day,A2,restricted_S05,R1,3,1168436609,,True,0.6040878188585588,0.00010948799070288588,2.849190136101774e-05,5.698380272203548e-05,0.00011396760544407096,0.00022793521088814193
NQ,GLOBEX,B0,1day,A2,restricted_S05,R2,3,1168436609,0.9926414064188587,True,0.6030516436502145,0.00010891005006489959,2.8341504705235516e-05,5.668300941047103e-05,0.00011336601882094206,0.00022673203764188413
NQ,GLOBEX,B0,1day,A2,restricted_S05,R3,3,1168436609,0.8496344690820835,True,0.5840167131796562,9.70939257719982e-05,2.52666117817142e-05,5.05332235634284e-05,0.0001010664471268568,0.0002021328942537136
NQ,GLOBEX,B0,1day,A2,extended,R0,3,1168436609,,True,2.8459072259323713e-17,0.0043009902522472875,0.001119240468612404,0.002238480937224808,0.004476961874449616,0.008953923748899232
NQ,GLOBEX,B0,1day,A2,extended,R1,3,1168436609,,True,0.6040878188585588,0.00010948799070288588,2.849190136101774e-05,5.698380272203548e-05,0.00011396760544407096,0.00022793521088814193
NQ,GLOBEX,B0,1day,A2,extended,R2,3,1168436609,0.9933437324775314,True,0.6031503075141206,0.00010896533465372143,2.8355891333772438e-05,5.6711782667544876e-05,0.00011342356533508975,0.0002268471306701795
NQ,GLOBEX,B0,1day,A2,extended,R3,3,1168436609,0.9399469453085768,True,0.595790506529489,0.00010468666081961781,2.7242458234355494e-05,5.448491646871099e-05,0.00010896983293742198,0.00021793966587484395
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R0,3,1168436609,,True,4.499774421738851e-17,0.004916381362933762,0.0012793828067041379,0.0025587656134082757,0.0051175312268165515,0.010235062453633103
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R1,3,1168436609,,True,1.4461117636913499,130.603357410083,33.98672267941938,67.97344535883876,135.94689071767752,271.89378143535504
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R2,3,1168436609,0.9926414064188587,True,1.4361861558150413,117.98150673487453,30.70215674554061,61.40431349108122,122.80862698216244,245.61725396432487
NQ,GLOBEX,B0,1day,A4p,restricted_S05,R3,3,1168436609,0.8496344690820835,True,1.245534704434639,16.368007341587802,4.259422861439375,8.51884572287875,17.0376914457575,34.075382891515
