root,geom,btag,horizon,range,candidate,n_oos,ic_oos,r2_oos,r2_oos_corr_theory,r2_oos_corr_measured,keep_oos_raw,keep_oos_measured,r2_is,r2_is_corr_measured,keep_is_raw,keep_is_measured,partition_is,degradation_r2
ES,RTH,B0,30min,extended,SignatureSlope,7451,-0.01888692450196155,0.0003567159171427956,0.0005295057506740756,0.0009011982175238994,False,False,8.638523944743378e-06,2.1824151956538183e-05,False,False,clears_neither,-0.0003480773931980522
ES,RTH,B1,1day,restricted_S05,RS_up,620,0.6438749064971797,0.4145748952167519,0.43870746344510486,1.1959805854402168,True,True,0.6465214802204557,1.8651084456271056,True,True,clears_both,0.23194658500370385
ES,RTH,B1,1day,restricted_S05,RS_down,620,0.6609253212768227,0.4368222803048713,0.46224987759729913,1.2601606430104946,True,True,0.6270485510632597,1.808932238426998,True,True,clears_both,0.19022627075838844
ES,RTH,B1,1day,restricted_S05,JumpVar,620,-0.05289021011575997,0.0027973743260892386,0.002960210589363927,0.008069966181773885,False,False,0.002074413523631,0.0059843428269825,False,False,clears_neither,-0.0007229608024582387
ES,RTH,B1,1day,restricted_S05,Parkinson,620,0.628171958856819,0.39460000989401306,0.41756983216628857,1.1383563170196696,True,True,0.6079181078044927,1.7537440468786678,True,True,clears_both,0.21331809791047968
ES,RTH,B1,1day,restricted_S05,GarmanKlass,620,0.6356900979143206,0.40410190058631856,0.42762483166493054,1.1657677134261766,True,True,0.6062487257832172,1.7489281535137675,True,True,clears_both,0.20214682519689864
ES,RTH,B1,1day,restricted_S05,VolumeSurprise,620,0.3684531530167728,0.13575772596800137,0.1436602367621872,0.3916387761404471,True,True,0.081304709150226,0.2345507525189016,True,True,clears_both,-0.05445301681777537
ES,RTH,B1,1day,restricted_S05,CrossLeadLag,620,0.6330986967253743,0.4008139597953675,0.4241454985432236,1.1562825434425998,True,True,0.6096292140960013,1.758680307920714,True,True,clears_both,0.20881525430063386
ES,RTH,B1,1day,restricted_S05,RealizedQuarticity,620,0.629250006913416,0.39595557120053415,0.4190043012313227,1.1422668890868122,True,True,0.6281802049422092,1.8121968742847816,True,True,clears_both,0.232224633741675
ES,RTH,B1,1day,restricted_S05,SignatureSlope,620,-0.0475582047379736,0.0022617828378990144,0.002393442109319148,0.006524872571444105,False,False,0.0183087610238217,0.0528177730504086,False,True,only_after_measured,0.016046978185922687
ES,RTH,B1,1day,extended,RS_up,620,0.6438749064971797,0.4145748952167519,0.42453621497503224,0.4936708320280765,True,True,0.6465214802204557,0.7698700542337114,True,True,clears_both,0.23194658500370385
ES,RTH,B1,1day,extended,RS_down,620,0.6609253212768227,0.4368222803048713,0.4473181556264655,0.5201627523870234,True,True,0.6270485510632597,0.7466819228490778,True,True,clears_both,0.19022627075838844
ES,RTH,B1,1day,extended,JumpVar,620,-0.05289021011575997,0.0027973743260892386,0.0028645890572928973,0.003331079925455776,False,False,0.002074413523631,0.0024701868395717,False,False,clears_neither,-0.0007229608024582387
ES,RTH,B1,1day,extended,Parkinson,620,0.628171958856819,0.39460000989401306,0.40408137724289644,0.4698849772387114,True,True,0.6079181078044927,0.7239016195803916,True,True,clears_both,0.21331809791047968
