root,geom,btag,horizon,range,candidate,n,ic_raw,r2_raw,lam_theory,lam_intercept,r2_corr_theory,r2_corr_measured,ic_corr_theory,ic_corr_measured,keep_raw,keep_theory,keep_measured,band_lo,band_hi,in_flip_band,lam_in_unit
ES,GLOBEX,B1,1day,restricted_S05,RealizedQuarticity,1952,0.793314645862576,0.6293481273400644,1.0000065365203092,-890.2105121888576,0.6293440136201379,-0.0007069655084083624,0.7933120531166395,,True,True,False,-17.804210243777153,0.02,False,False
ES,GLOBEX,B1,1day,restricted_S05,SignatureSlope,1952,0.06265590564970373,0.003925762512784576,1.0000065365203092,-890.2105121888576,0.003925736852125913,-4.4099260332613645e-06,0.06265570087490772,,False,False,False,-17.804210243777153,0.02,True,False
ES,GLOBEX,B1,1day,extended,RS_up,1952,0.8178731633033722,0.6689165112518646,0.9930149647327526,0.8272250642225776,0.6736217831640515,0.8086269869984045,0.820744651620741,0.899236891479884,True,True,True,0.016544501284451552,0.02,False,True
ES,GLOBEX,B1,1day,extended,RS_down,1952,0.8344302506041761,0.6962738431233481,0.9930149647327526,0.8272250642225776,0.7011715511364265,0.8416981946475511,0.8373598695521697,0.9174411123595624,True,True,True,0.016544501284451552,0.02,False,True
ES,GLOBEX,B1,1day,extended,JumpVar,1952,-0.11596337004238239,0.013447503191586508,0.9930149647327526,0.8272250642225776,0.013542095204180128,0.016256160231586325,-0.1163705083093656,-0.1274996479665192,False,False,False,0.016544501284451552,0.02,False,True
ES,GLOBEX,B1,1day,extended,Parkinson,1952,0.7803537669093398,0.6089520015295962,0.9930149647327526,0.8272250642225776,0.6132354729351754,0.7361382383908864,0.7830935275783957,0.8579849872759351,True,True,True,0.016544501284451552,0.02,False,True
ES,GLOBEX,B1,1day,extended,GarmanKlass,1952,0.7901299648810017,0.6243053614028531,0.9930149647327526,0.8272250642225776,0.6286968309393712,0.7546983141638394,0.7929040490118405,0.868733741812668,True,True,True,0.016544501284451552,0.02,False,True
ES,GLOBEX,B1,1day,extended,VolumeSurprise,1952,0.18513271129785847,0.03427412079249621,0.9930149647327526,0.8272250642225776,0.03451521075688956,0.041432643031321686,0.18578269767900765,0.20355009956107042,True,True,True,0.016544501284451552,0.02,False,True
ES,GLOBEX,B1,1day,extended,CrossLeadLag,1952,0.6916888316176982,0.47843343978465647,0.9930149647327526,0.8272250642225776,0.4817988215448656,0.5783594579962178,0.6941172966760485,0.760499479287276,True,True,True,0.016544501284451552,0.02,False,True
ES,GLOBEX,B1,1day,extended,RealizedQuarticity,1952,0.793314645862576,0.6293481273400644,0.9930149647327526,0.8272250642225776,0.6337750685453558,0.7607943165159327,0.7960999111577365,0.872235241500785,True,True,True,0.016544501284451552,0.02,False,True
ES,GLOBEX,B1,1day,extended,SignatureSlope,1952,0.06265590564970373,0.003925762512784576,0.9930149647327526,0.8272250642225776,0.003953376990487858,0.004745700635260599,0.06287588560400448,0.06888904582922163,False,False,False,0.016544501284451552,0.02,False,True
NQ,GLOBEX,B0,1day,restricted_S05,RS_up,1947,0.7897088593392217,0.6236400825188547,0.9926414064188588,0.8496344690820835,0.6282632161887686,0.7340098656691912,0.7926305672813587,0.8567437572980565,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B0,1day,restricted_S05,RS_down,1947,0.8115761193941363,0.6586557975708454,0.9926414064188588,0.8496344690820835,0.6635385077749985,0.7752225475061468,0.8145787302495681,0.8804672324999647,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B0,1day,restricted_S05,JumpVar,1947,-0.07808682911196578,0.006097552880761347,0.9926414064188588,0.8496344690820835,0.00614275491766903,0.007176677856948221,-0.07837572913644268,-0.08471527522795531,False,False,False,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B0,1day,restricted_S05,Parkinson,1947,0.7582545565227496,0.5749499724875118,0.9926414064188588,0.8496344690820835,0.5792121593655379,0.6767027391304739,0.7610598921014942,0.8226194376079827,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B0,1day,restricted_S05,GarmanKlass,1947,0.7694043215798518,0.591983010065752,0.9926414064188588,0.8496344690820835,0.5963714653023013,0.6967502280190099,0.7722509082560547,0.8347156569868627,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B0,1day,restricted_S05,VolumeSurprise,1947,0.16764069613045712,0.02810340299910426,0.9926414064188588,0.8496344690820835,0.028311737569453797,0.03307705139301402,0.1682609211000992,0.18187097457542262,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B0,1day,restricted_S05,CrossLeadLag,1947,0.6384470069176975,0.4076145806421665,0.9926414064188588,0.8496344690820835,0.4106362861818479,0.4797528766488718,0.6408090871561107,0.6926419541501019,True,True,True,0.01699268938164167,0.02,False,True
