root,geom,btag,horizon,M,lam_E2,lam_E4,lam_intercept,var_log_rv,n,mean_eff_M,trigamma,lam_theory,is_five_min_equiv
ES,RTH,B1,30min,15,0.7801997140652711,0.994532714164301,0.4882368801194382,1.6699301967974403,22812,14.99916710503244,0.1426158966967038,0.8511219044128724,False
ES,RTH,B1,30min,30,0.8036308834779807,0.9989807302415732,0.5608079747699993,1.453833657832709,22812,29.99815886375592,0.0689382278476838,0.9220384860336079,False
NQ,RTH,B0,1day,5,0.8455229544396118,0.8722192448309727,0.5814651684504336,1.8174300346069434,1901,5.0,0.4903577561002349,0.6830532982937639,False
NQ,RTH,B0,1day,6,0.6900566847549534,0.8626017992458404,0.6347455325822055,1.6648754610694987,1901,6.0,0.39493406684822646,0.7279518183447821,False
NQ,RTH,B0,1day,10,0.7739490001708027,0.8887893767223928,0.7274598206900444,1.4526881501402846,1901,10.0,0.22132295573711533,0.8268337500987534,False
NQ,RTH,B0,1day,13,0.793120023322425,0.9007971303638482,0.7909039137652737,1.3361575822638236,1901,13.0,0.16628453574995827,0.8640418530341591,False
NQ,RTH,B0,1day,26,0.8562438452991675,0.9377732679755661,0.8771657299604098,1.2047578070193194,1901,26.0,0.07995742842732394,0.9296601213502579,False
NQ,RTH,B0,1day,78,0.9094029909091661,0.9762839500445042,0.9312843759268288,1.1347471175685595,1901,77.99684376643872,0.025972566037214765,0.9760122926626974,True
NQ,RTH,B0,1day,195,0.9305361645809647,0.9896461428775527,0.9780931910784487,1.0804412819338853,1901,194.98947922146237,0.01030918704702152,0.9903388939393821,False
NQ,RTH,B0,1day,389,0.9344009680731142,0.994621494991568,1.0097312791173454,1.0465876249207404,1901,388.97685428721724,0.0051546277620026035,0.9951459673773342,False
NQ,RTH,B0,1h,4,0.8176669972729993,0.9989686170621587,0.6352676390389458,2.242986168005201,11406,4.0,0.6449340668482266,0.6884121489665213,False
NQ,RTH,B0,1h,5,0.7981769775704439,0.9982383749614059,0.6856472525726343,2.078177258056947,11406,5.0,0.4903577561002349,0.7439725051975934,False
NQ,RTH,B0,1h,6,0.7725436636835135,0.8876723187715967,0.7145125728711211,1.9942217694225084,11406,5.99982465369104,0.39493406684822646,0.7829830600121528,False
NQ,RTH,B0,1h,10,0.8456981139056635,0.9112615259919107,0.7879044804809461,1.80846354176829,11406,9.9995616342276,0.22132295573711533,0.8655568361257303,False
NQ,RTH,B0,1h,12,0.8621540592523426,0.9213693169514057,0.8101747602302579,1.758752058556736,11406,11.99947396107312,0.18132295573711532,0.887111968415982,True
NQ,RTH,B0,1h,15,0.8753250679503365,0.9316967989095825,0.8386360151129748,1.6990643159460839,11406,14.99929861476416,0.1426158966967038,0.9090176929322712,False
NQ,RTH,B0,1h,20,0.9001573516021212,0.9455665482684626,0.8582105978379507,1.6603110366329086,11406,19.99894792214624,0.10516633568168576,0.9312666569309412,False
