root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
NQ,GLOBEX,B1,1h,S-A,17982,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
NQ,GLOBEX,B1,1h,S-B_q0.80,3597,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,2244297469,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0026, ""M3_HARJ"": 0.0045, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1h,S-C_q0.80,3597,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
NQ,GLOBEX,B1,1h,S-B_q0.90,1799,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,1393827794,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0022, ""M3_HARJ"": 0.0022, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1h,S-C_q0.90,1799,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
NQ,GLOBEX,B1,30min,S-A,83081,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
NQ,GLOBEX,B1,30min,S-B_q0.80,16616,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,3347351648,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0, ""M3_HARJ"": 0.0012, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,30min,S-C_q0.80,16616,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
NQ,GLOBEX,B1,30min,S-B_q0.90,8308,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,2440383775,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0, ""M3_HARJ"": 0.0006, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,30min,S-C_q0.90,8308,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
ES,RTH,B0,1day,S-A,1401,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,629663445,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.3628, ""M3_HARJ"": 0.3628, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-B_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,4238439140,"{""M4_HARQ"": 0.0, ""M3_HARJ"": 0.0, ""M6_GK"": 0.0, ""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0308, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-C_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3945777218,"{""M4_HARQ"": 0.0833, ""M3_HARJ"": 0.0833, ""M1_EWMA"": 0.0833, ""M6_PARK"": 0.0833, ""M6_GK"": 0.0833, ""M5_RGARCH"": 0.0833, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-B_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M1_EWMA|M2_HAR|M6_GK|M6_PARK,2768131305,"{""M4_HARQ"": 0.0, ""M3_HARJ"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.1498, ""M6_PARK"": 0.1498, ""M6_GK"": 0.1498, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-C_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,3441137014,"{""M4_HARQ"": 0.1976, ""M3_HARJ"": 0.1976, ""M1_EWMA"": 0.1976, ""M5_RGARCH"": 0.1976, ""M6_GK"": 0.1976, ""M6_PARK"": 0.1976, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-A,10906,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,310945355,"{""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0006, ""M3_HARJ"": 0.0196, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-B_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,34901983,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0007, ""M3_HARJ"": 0.0007, ""M1_EWMA"": 0.0007, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-C_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,4016535017,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0158, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-B_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,2778071878,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0147, ""M3_HARJ"": 0.0147, ""M1_EWMA"": 0.0147, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-C_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,1734405981,"{""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.0001, ""M3_HARJ"": 0.0001, ""M1_EWMA"": 0.0001, ""M6_PARK"": 0.0001, ""M6_GK"": 0.0001, ""M2_HAR"": 1.0}"
ES,RTH,B0,30min,S-A,22312,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,3907597529,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0, ""M3_HARJ"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 1.0}"
ES,RTH,B0,30min,S-B_q0.80,4463,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,832728714,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0669, ""M4_HARQ"": 0.0669, ""M2_HAR"": 1.0}"
